gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	ontology_id	ontology_ancestor_id	max_trial_phase
ABAT	ENSG00000183044	MONDO_0100062	MONDO_0005071	MONDO_0001734	MONDO_0005071	4.0
ABAT	ENSG00000183044	MONDO_0100062	MONDO_0005071	MONDO_0018097	MONDO_0005071	4.0
ABAT	ENSG00000183044	MONDO_0100062	MONDO_0005071	MONDO_0100062	MONDO_0005071	4.0
ABAT	ENSG00000183044	MONDO_0100062	MONDO_0005071	HP_0011097	HP_0000707	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MONDO_0005148	MONDO_0005066	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	HP_0003124	HP_0001939	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MONDO_0005147	MONDO_0005066	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MONDO_0005148	MONDO_0005066	3.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0004335	MONDO_0005148	MONDO_0004335	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0004335	MONDO_0011719	MONDO_0004335	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0004335	MONDO_0005147	MONDO_0004335	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0004335	MONDO_0005148	MONDO_0004335	3.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005151	MONDO_0005148	MONDO_0005151	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005151	MONDO_0005147	MONDO_0005151	4.0
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005151	MONDO_0005148	MONDO_0005151	3.0
ACVR1	ENSG00000115170	MONDO_0007606	MONDO_0002081	MONDO_0005178	MONDO_0002081	4.0
ADA	ENSG00000196839	MONDO_0007064	MONDO_0005046	MONDO_0020547	MONDO_0005046	4.0
ADA	ENSG00000196839	MONDO_0007064	MONDO_0005046	MONDO_0013730	MONDO_0005046	4.0
ADA	ENSG00000196839	MONDO_0007064	MONDO_0005046	MONDO_0015974	MONDO_0005046	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0002315	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005277	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005475	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0001257	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0100431	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0043510	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0002959	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0002140	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0000713	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005090	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0003544	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005299	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0004976	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0001337	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0100543	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0004975	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005180	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0002050	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0000726	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	HP_0002039	HP_0000707	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0002009	MONDO_0005071	4.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0004975	MONDO_0005071	3.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0002009	MONDO_0005071	3.0
ADRA2B	ENSG00000274286	MONDO_0005027	MONDO_0005071	MONDO_0005180	MONDO_0005071	2.0
AGTR2	ENSG00000180772	MONDO_0100148	MONDO_0005071	MONDO_0041052	MONDO_0005071	2.0
AKT3	ENSG00000117020	MONDO_0100283	MONDO_0021147	MONDO_0008318	MONDO_0021147	2.0
AKT3	ENSG00000117020	MONDO_0100283	MONDO_0005071	MONDO_0016642	MONDO_0005071	4.0
AKT3	ENSG00000117020	MONDO_0100283	MONDO_0005071	MONDO_0100342	MONDO_0005071	2.0
AKT3	ENSG00000117020	MONDO_0001149	MONDO_0021147	MONDO_0008318	MONDO_0021147	2.0
AKT3	ENSG00000117020	MONDO_0001149	MONDO_0005071	MONDO_0016642	MONDO_0005071	4.0
AKT3	ENSG00000117020	MONDO_0001149	MONDO_0005071	MONDO_0100342	MONDO_0005071	2.0
ALDH5A1	ENSG00000112294	MONDO_0010083	MONDO_0005066	MONDO_0019200	MONDO_0005066	4.0
ALDH5A1	ENSG00000112294	MONDO_0010083	MONDO_0005066	MONDO_0009293	MONDO_0005066	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0015798	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0002108	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0004992	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0011962	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0008903	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0007254	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0001056	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0008315	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0007039	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0021117	MONDO_0045024	4.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0008903	MONDO_0045024	3.0
ALK	ENSG00000171094	MONDO_0013083	MONDO_0045024	MONDO_0004992	MONDO_0045024	1.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	MONDO_0018328	MONDO_0005066	4.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	HP_0003124	HP_0001939	4.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	MONDO_0020088	MONDO_0005066	2.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	MONDO_0018328	MONDO_0005066	2.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	MONDO_0021187	MONDO_0005066	2.0
ANGPTL3	ENSG00000132855	MONDO_0011505	MONDO_0005066	MONDO_0021187	MONDO_0005066	1.0
APOB	ENSG00000084674	MONDO_0007751	MONDO_0005066	HP_0003124	HP_0001939	4.0
APOB	ENSG00000084674	MONDO_0014252	MONDO_0005066	HP_0003124	HP_0001939	4.0
AR	ENSG00000169083	MONDO_0010735	MONDO_0005071	MONDO_0005301	MONDO_0005071	4.0
ARSA	ENSG00000100299	MONDO_0018868	MONDO_0005066	MONDO_0018868	MONDO_0005066	4.0
ARSA	ENSG00000100299	MONDO_0018868	MONDO_0002025	MONDO_0018868	MONDO_0002025	4.0
ARSA	ENSG00000100299	MONDO_0018868	MONDO_0005071	MONDO_0018868	MONDO_0005071	4.0
ATP1A1	ENSG00000163399	MONDO_0054833	MONDO_0005071	MONDO_0002009	MONDO_0005071	4.0
ATP1A1	ENSG00000163399	MONDO_0054833	MONDO_0005071	MONDO_0008667	MONDO_0005071	4.0
ATP1A1	ENSG00000163399	MONDO_0054833	MONDO_0005071	MONDO_0002050	MONDO_0005071	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0004995	MONDO_0019623	MONDO_0004995	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0004995	MONDO_0001134	MONDO_0004995	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0004995	HP_0004755	HP_0001626	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0004995	HP_0031273	HP_0001626	2.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0005071	MONDO_0002009	MONDO_0005071	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0005071	MONDO_0008667	MONDO_0005071	4.0
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0005071	MONDO_0002050	MONDO_0005071	4.0
ATP1A3	ENSG00000105409	MONDO_0700002	MONDO_0005071	MONDO_0002009	MONDO_0005071	4.0
ATP1A3	ENSG00000105409	MONDO_0700002	MONDO_0005071	MONDO_0008667	MONDO_0005071	4.0
ATP1A3	ENSG00000105409	MONDO_0700002	MONDO_0005071	MONDO_0002050	MONDO_0005071	4.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0002025	MONDO_0024290	MONDO_0002025	4.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0002025	MONDO_0002009	MONDO_0002025	4.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0005071	MONDO_0002009	MONDO_0005071	4.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0005071	MONDO_0043510	MONDO_0005071	4.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0005071	HP_0002140	HP_0000707	3.0
AVPR1A	ENSG00000166148	MONDO_0005258	MONDO_0005071	MONDO_0007739	MONDO_0005071	2.0
BLK	ENSG00000136573	MONDO_0015967	MONDO_0004335	MONDO_0011719	MONDO_0004335	4.0
BLK	ENSG00000136573	MONDO_0015967	MONDO_0004335	MONDO_0021063	MONDO_0004335	4.0
BLK	ENSG00000136573	MONDO_0015967	MONDO_0004335	MONDO_0003175	MONDO_0004335	4.0
BLK	ENSG00000136573	MONDO_0015967	MONDO_0005151	MONDO_0008170	MONDO_0005151	4.0
BRAF	ENSG00000157764	MONDO_0018997	MONDO_0002081	MONDO_0017795	MONDO_0002081	4.0
BRAF	ENSG00000157764	MONDO_0018997	MONDO_0004995	MONDO_0000831	MONDO_0004995	4.0
BRAF	ENSG00000157764	MONDO_0018997	MONDO_0005046	HP_0100727	HP_0002715	4.0
BRAF	ENSG00000157764	MONDO_0018997	MONDO_0005046	HP_0100727	HP_0002715	2.0
BRAF	ENSG00000157764	MONDO_0007893	MONDO_0002081	MONDO_0017795	MONDO_0002081	4.0
BRAF	ENSG00000157764	MONDO_0007893	MONDO_0004995	MONDO_0000831	MONDO_0004995	4.0
BRAF	ENSG00000157764	MONDO_0015280	MONDO_0002051	MONDO_0002898	MONDO_0002051	4.0
BRAF	ENSG00000157764	MONDO_0015280	MONDO_0002081	MONDO_0017795	MONDO_0002081	4.0
BRAF	ENSG00000157764	MONDO_0015280	MONDO_0004995	MONDO_0000831	MONDO_0004995	4.0
BRAF	ENSG00000157764	MONDO_0009026	MONDO_0002081	MONDO_0017795	MONDO_0002081	4.0
BRAF	ENSG00000157764	MONDO_0009026	MONDO_0004995	MONDO_0000831	MONDO_0004995	4.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005039	MONDO_0008170	MONDO_0005039	4.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005039	MONDO_0008315	MONDO_0005039	4.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005039	MONDO_0008315	MONDO_0005039	3.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005151	MONDO_0008170	MONDO_0005151	4.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005151	MONDO_0005147	MONDO_0005151	4.0
BTK	ENSG00000010671	MONDO_0010615	MONDO_0005071	MONDO_0005301	MONDO_0005071	3.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005570	MONDO_0018906	MONDO_0005570	4.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005570	MONDO_0001023	MONDO_0005570	4.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005570	MONDO_0044881	MONDO_0005570	4.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005570	MONDO_0009348	MONDO_0005570	4.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005570	MONDO_0018906	MONDO_0005570	3.0
