gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	ontology_id	ontology_ancestor_id
AARS1	ENSG00000090861	MONDO_0013212	MONDO_0005071	MP_0000876	MP_0003631
ABCA4	ENSG00000198691	MONDO_0800406	MONDO_0005071	MP_0008584	MP_0003631
ABCA4	ENSG00000198691	MONDO_0800406	MONDO_0005071	MP_0008450	MP_0003631
ABCA4	ENSG00000198691	MONDO_0800406	MONDO_0005071	MP_0003729	MP_0003631
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0001570	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0002941	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0002647	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005627	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0008837	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0000203	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0000202	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0000186	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0001573	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0002118	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0021029	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0001566	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0001569	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005343	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005560	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0012336	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005344	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0009642	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0008806	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0002968	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0004789	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0011977	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0011584	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005179	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0000195	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005553	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005066	MP_0005584	MP_0005376
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0004335	MP_0002647	MP_0005381
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0004335	MP_0003868	MP_0005381
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0004335	MP_0010155	MP_0005381
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005151	MP_0002928	MP_0005379
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005151	MP_0003255	MP_0005379
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005151	MP_0020134	MP_0005379
ABCB4	ENSG00000005471	MONDO_0011214	MONDO_0005151	MP_0003253	MP_0005379
ABCB6	ENSG00000115657	MONDO_0014169	MONDO_0002051	MP_0002098	MP_0010771
ABCB7	ENSG00000131269	MONDO_0044970	MONDO_0044970	MP_0003121	MP_0005384
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0014348	MP_0005397
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0000711	MP_0005397
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0002356	MP_0005397
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0000692	MP_0005397
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0008470	MP_0005397
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	MP_0014263	MP_0005397
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0005559	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0003058	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0003059	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0003564	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0000189	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0005560	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005066	MP_0005293	MP_0005376
ABCC8	ENSG00000006071	MONDO_0015967	MONDO_0005151	MP_0003058	MP_0005379
