gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	protein.level
GBA1	ENSG00000177628	MONDO_0005180	MONDO_0005071	brain	3
ATRX	ENSG00000085224	MONDO_0016980	MONDO_0005071	brain	3
ATP7A	ENSG00000165240	MONDO_0010651	MONDO_0005066	endocrine gland	3
NDUFA1	ENSG00000125356	MONDO_0009723	MONDO_0005066	endocrine gland	3
ATP7A	ENSG00000165240	MONDO_0010338	MONDO_0005071	brain	3
SHOC2	ENSG00000108061	MONDO_0015280	MONDO_0002051	skin of body	3
MATR3	ENSG00000280987	MONDO_0018951	MONDO_0005071	brain	3
ECHS1	ENSG00000127884	MONDO_0009723	MONDO_0005066	endocrine gland	3
ATP6V0A2	ENSG00000185344	MONDO_0018163	MONDO_0005066	pancreas	3
HOMER2	ENSG00000103942	MONDO_0019497	MONDO_0005071	brain	3
SHOC2	ENSG00000108061	MONDO_0011899	MONDO_0002051	skin of body	3
ECHS1	ENSG00000127884	MONDO_0014563	MONDO_0044970	brain	3
ATP6V1B1	ENSG00000116039	MONDO_0009968	MONDO_0002118	kidney	3
MYH7	ENSG00000092054	MONDO_0016587	MONDO_0004995	heart	3
NDUFA13	ENSG00000186010	MONDO_0009723	MONDO_0005066	endocrine gland	3
DYSF	ENSG00000135636	MONDO_0015152	MONDO_0005071	brain	3
B4GALNT1	ENSG00000135454	MONDO_0015150	MONDO_0005071	brain	3
HPS3	ENSG00000163755	MONDO_0013555	MONDO_0005066	endocrine gland	3
EARS2	ENSG00000103356	MONDO_0009723	MONDO_0005066	endocrine gland	3
ATXN2	ENSG00000204842	MONDO_0008458	MONDO_0005071	brain	3
DZIP1L	ENSG00000158163	MONDO_0009889	MONDO_0002118	bladder organ	3
HPS1	ENSG00000107521	MONDO_0008748	MONDO_0002051	skin of body	3
PHOX2B	ENSG00000109132	MONDO_0020493	MONDO_0004335	intestine	3
SIL1	ENSG00000120725	MONDO_0009567	MONDO_0005071	brain	3
HNRNPH2	ENSG00000126945	MONDO_0100148	MONDO_0005071	brain	3
NBEA	ENSG00000172915	MONDO_0100038	MONDO_0005071	brain	3
EGFR	ENSG00000146648	MONDO_0005233	MONDO_0005087	tracheobronchial tree	3
PIK3CA	ENSG00000121879	MONDO_0100283	MONDO_0005071	brain	3
ATP1A1	ENSG00000163399	MONDO_0054833	MONDO_0005071	brain	3
EFTUD2	ENSG00000108883	MONDO_0012516	MONDO_0002081	musculature	3
EFNB1	ENSG00000090776	MONDO_0010570	MONDO_0002081	musculature	3
HNRNPK	ENSG00000165119	MONDO_0018681	MONDO_0002081	musculature	3
EIF2B5	ENSG00000145191	MONDO_0957873	MONDO_0005071	brain	3
ATP13A2	ENSG00000159363	MONDO_0011706	MONDO_0005071	brain	3
HNRNPDL	ENSG00000152795	MONDO_0015151	MONDO_0005071	brain	3
EIF2S3	ENSG00000130741	MONDO_0010258	MONDO_0005071	brain	3
NARS1	ENSG00000134440	MONDO_0100348	MONDO_0005071	brain	3
EEF1A2	ENSG00000101210	MONDO_0100038	MONDO_0005071	brain	3
HNRNPU	ENSG00000153187	MONDO_0100038	MONDO_0005071	brain	3
SGSH	ENSG00000181523	MONDO_0009655	MONDO_0005066	endocrine gland	3
NCKAP1	ENSG00000061676	MONDO_0100038	MONDO_0005071	brain	3
EFEMP1	ENSG00000115380	MONDO_0007471	MONDO_0024458	sense organ	3
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0005071	brain	3
HNRNPR	ENSG00000125944	MONDO_0000508	MONDO_0005071	brain	3
ATP1A3	ENSG00000105409	MONDO_0700002	MONDO_0005071	brain	3
PIGL	ENSG00000108474	MONDO_0000508	MONDO_0005071	brain	3
USP9X	ENSG00000124486	MONDO_0020119	MONDO_0005071	brain	3
MAP2K2	ENSG00000126934	MONDO_0018997	MONDO_0005046	immune organ	3
DOCK8	ENSG00000107099	MONDO_0009478	MONDO_0005046	immune organ	3
BLOC1S3	ENSG00000189114	MONDO_0013560	MONDO_0005066	pancreas	3
NDUFAF2	ENSG00000164182	MONDO_0009723	MONDO_0005066	endocrine gland	3
DOCK2	ENSG00000134516	MONDO_0014637	MONDO_0005046	immune organ	3
PEX5	ENSG00000139197	MONDO_0019234	MONDO_0005071	brain	3
DNMT3A	ENSG00000119772	MONDO_0014382	MONDO_0002081	musculature	3
SLC2A1	ENSG00000117394	MONDO_0000188	MONDO_0005071	brain	3
HSD17B10	ENSG00000072506	MONDO_0010327	MONDO_0005066	endocrine gland	3
BLOC1S5	ENSG00000188428	MONDO_0030903	MONDO_0002051	skin of body	3
BLNK	ENSG00000095585	MONDO_0013289	MONDO_0005046	immune organ	3
NDUFA9	ENSG00000139180	MONDO_0009723	MONDO_0044970	brain	3
MAP2K2	ENSG00000126934	MONDO_0015280	MONDO_0002081	skeletal element	3
DPM3	ENSG00000179085	MONDO_0013049	MONDO_0005066	endocrine gland	3
DPF2	ENSG00000133884	MONDO_0015452	MONDO_0002081	musculature	3
UROD	ENSG00000126088	MONDO_0100498	MONDO_0005066	endocrine gland	3
UPK3A	ENSG00000100373	MONDO_0019719	MONDO_0002118	bladder organ	3
DNM1L	ENSG00000087470	MONDO_0009723	MONDO_0044970	brain	3
BMPR1A	ENSG00000107779	MONDO_0017380	MONDO_0004335	stomach	3
MAP1B	ENSG00000131711	MONDO_0020341	MONDO_0005071	brain	3
UBTF	ENSG00000108312	MONDO_0044701	MONDO_0005071	brain	3
HSD17B4	ENSG00000133835	MONDO_0009855	MONDO_0005066	liver	3
HSD17B4	ENSG00000133835	MONDO_0017312	MONDO_0005039	reproductive structure	3
UBQLN2	ENSG00000188021	MONDO_0010459	MONDO_0005071	brain	3
DNM1L	ENSG00000087470	MONDO_0054865	MONDO_0044970	brain	3
PEX3	ENSG00000034693	MONDO_0019234	MONDO_0005066	pancreas	3
SLC35A2	ENSG00000102100	MONDO_0100148	MONDO_0005071	brain	3
UNC80	ENSG00000144406	MONDO_0014777	MONDO_0005071	brain	3
BLOC1S6	ENSG00000104164	MONDO_0013606	MONDO_0005066	endocrine gland	3
BLM	ENSG00000197299	MONDO_0008876	MONDO_0002051	skin of body	3
SKI	ENSG00000157933	MONDO_0008426	MONDO_0002081	skeletal element	3
SLC25A46	ENSG00000164209	MONDO_0009723	MONDO_0005066	endocrine gland	3
NDUFA2	ENSG00000131495	MONDO_0009723	MONDO_0005066	endocrine gland	3
DTNA	ENSG00000134769	MONDO_0005021	MONDO_0004995	heart	3
VCP	ENSG00000165280	MONDO_0000507	MONDO_0002081	skeletal element	3
MATR3	ENSG00000015479	MONDO_0018951	MONDO_0005071	brain	3
HPS4	ENSG00000100099	MONDO_0013556	MONDO_0005087	lung	3
PHF8	ENSG00000172943	MONDO_0010286	MONDO_0005071	brain	3
VCL	ENSG00000035403	MONDO_0005021	MONDO_0002081	musculature	3
DSTYK	ENSG00000133059	MONDO_0015150	MONDO_0005071	brain	3
BCAP31	ENSG00000185825	MONDO_0010334	MONDO_0005071	brain	3
B4GAT1	ENSG00000174684	MONDO_0014120	MONDO_0005071	brain	3
DTNBP1	ENSG00000047579	MONDO_0013559	MONDO_0005570	spleen	3
VHL	ENSG00000134086	MONDO_0008667	MONDO_0005071	brain	3
DTNA	ENSG00000134769	MONDO_0005453	MONDO_0004995	heart	3
VCL	ENSG00000035403	MONDO_0005045	MONDO_0002081	musculature	3
VAPB	ENSG00000124164	MONDO_0012077	MONDO_0005071	brain	3
NDUFA2	ENSG00000131495	MONDO_0044970	MONDO_0044970	brain	3
HPS6	ENSG00000166189	MONDO_0013558	MONDO_0005066	pancreas	3
DSC2	ENSG00000134755	MONDO_0016342	MONDO_0004995	heart	3
SLC25A22	ENSG00000177542	MONDO_0100062	MONDO_0005071	brain	3
DPP6	ENSG00000130226	MONDO_0100038	MONDO_0005071	brain	3
PGM1	ENSG00000079739	MONDO_0013968	MONDO_0005066	endocrine gland	3
BIN1	ENSG00000136717	MONDO_0018947	MONDO_0002081	musculature	3
PHF6	ENSG00000156531	MONDO_0010537	MONDO_0005071	brain	3
BEST1	ENSG00000167995	MONDO_0700238	MONDO_0002022	sense organ	3
