gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.zscore
STAC3	ENSG00000185482	MONDO_0009722	MONDO_0002081	musculature	6
STAT3	ENSG00000168610	MONDO_0007818	MONDO_0005570	blood	6
ACTC1	ENSG00000159251	MONDO_0016587	MONDO_0004995	heart	6
EP300	ENSG00000100393	MONDO_0013364	MONDO_0002081	skeletal element	6
TNNT2	ENSG00000118194	MONDO_0005021	MONDO_0004995	heart	6
MYH2	ENSG00000125414	MONDO_0011577	MONDO_0002081	musculature	6
SCN5A	ENSG00000183873	MONDO_0015263	MONDO_0004995	heart	6
CFAP43	ENSG00000197748	MONDO_0054723	MONDO_0005039	reproductive structure	6
FASLG	ENSG00000117560	MONDO_0011158	MONDO_0005046	immune organ	6
SOS1	ENSG00000115904	MONDO_0015280	MONDO_0002081	skeletal element	6
EXOC7	ENSG00000182473	MONDO_0100038	MONDO_0005071	brain	6
MYH6	ENSG00000197616	MONDO_0800442	MONDO_0004995	heart	6
TNNT1	ENSG00000105048	MONDO_0018958	MONDO_0002081	musculature	6
SCP2	ENSG00000116171	MONDO_0013391	MONDO_0005066	endocrine gland	6
ACTC1	ENSG00000159251	MONDO_0005045	MONDO_0004995	heart	6
TUBB1	ENSG00000101162	MONDO_0800047	MONDO_0005570	blood	6
NEB	ENSG00000183091	MONDO_0009725	MONDO_0002081	musculature	6
ACTC1	ENSG00000159251	MONDO_0005021	MONDO_0004995	heart	6
HBB	ENSG00000244734	MONDO_0020459	MONDO_0005570	blood	6
STAT3	ENSG00000168610	MONDO_0014414	MONDO_0005046	immune organ	6
DAND5	ENSG00000179284	MONDO_0005453	MONDO_0004995	heart	6
ACY1	ENSG00000243989	MONDO_0012368	MONDO_0005066	endocrine gland	6
SOS2	ENSG00000100485	MONDO_0018997	MONDO_0002081	skeletal element	6
FOXP3	ENSG00000049768	MONDO_0010580	MONDO_0005046	immune organ	6
TFRC	ENSG00000072274	MONDO_0014760	MONDO_0005046	immune organ	6
GRIK2	ENSG00000164418	MONDO_0100038	MONDO_0005071	brain	6
SLC34A1	ENSG00000131183	MONDO_0013247	MONDO_0002118	kidney	6
MYL3	ENSG00000160808	MONDO_0005021	MONDO_0004995	heart	6
ATXN2	ENSG00000204842	MONDO_0008458	MONDO_0005071	brain	6
RELN	ENSG00000189056	MONDO_0019450	MONDO_0005071	brain	6
PUF60	ENSG00000179950	MONDO_0000508	MONDO_0005071	brain	6
SCN5A	ENSG00000183873	MONDO_0005021	MONDO_0004995	heart	6
TNNT2	ENSG00000118194	MONDO_0016587	MONDO_0004995	heart	6
MYL3	ENSG00000160808	MONDO_0016587	MONDO_0004995	heart	6
LMOD3	ENSG00000163380	MONDO_0014513	MONDO_0002081	musculature	6
TNNT2	ENSG00000118194	MONDO_0005045	MONDO_0004995	heart	6
TNPO3	ENSG00000064419	MONDO_0015151	MONDO_0002081	skeletal element	6
GCDH	ENSG00000105607	MONDO_0009281	MONDO_0005066	liver	6
MYL2	ENSG00000111245	MONDO_0005045	MONDO_0004995	heart	6
RAD51C	ENSG00000108384	MONDO_0013248	MONDO_0005570	blood	6
EN2	ENSG00000164778	MONDO_0100038	MONDO_0005071	brain	6
TNNT1	ENSG00000105048	MONDO_0011539	MONDO_0002081	musculature	6
MYH6	ENSG00000197616	MONDO_0005045	MONDO_0004995	heart	6
FXYD2	ENSG00000137731	MONDO_0007937	MONDO_0002118	kidney	6
PNPO	ENSG00000108439	MONDO_0012407	MONDO_0005066	liver	6
SHOC2	ENSG00000108061	MONDO_0015280	MONDO_0002081	skeletal element	6
HPS1	ENSG00000107521	MONDO_0008748	MONDO_0005570	blood	6
SCN5A	ENSG00000183873	MONDO_0016587	MONDO_0004995	heart	6
