id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,maximumClinicalTrialPhase,hasBeenWithdrawn,isApproved,tradeNames,synonyms,childChemblIds,description,crossReferences.Wikipedia,crossReferences.drugbank,linkedDiseases.rows,linkedDiseases.count,linkedTargets.rows,linkedTargets.count,yearOfFirstApproval,parentId,crossReferences.DailyMed,crossReferences.PubChem,crossReferences.chEBI,crossReferences.EMA,crossReferences.USAN,crossReferences.TG-GATEs,crossReferences.DrugCentral,crossReferences.INN
CHEMBL127071,Cc1ncccc1OC[C@@H]1CCCN1,YRVIKLBSVVNSHF-JTQLQIEISA-N,Small molecule,False,POZANICLINE,2.0,False,False,[],"['A-87089.0', 'A-870890', 'ABT-089', 'Pozanicline']",['CHEMBL2105650'],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,"['A-84,543']",['DB05458'],"['EFO_0003768', 'EFO_0003888', 'MONDO_0004975']",3.0,"['ENSG00000160716', 'ENSG00000101204', 'ENSG00000169684', 'ENSG00000147434']",4,,,,,,,,,,
CHEMBL1692,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,XZZXIYZZBJDEEP-UHFFFAOYSA-N,Small molecule,True,IMIPRAMINE HYDROCHLORIDE,4.0,False,True,"['Imipramine hydrochloride', 'Janimine', 'Pramine', 'Praminil', 'Presamine', 'Sarimp', 'Tofranil']","['G-22355', 'Imidobenzyle', 'Imipramine HCl', 'Imipramine hcl', 'Imipramine hydrochloride', 'Imipramine hydrochloride rs', 'Imipramini hydrochloridum', 'Imizine', 'NSC-114900', 'Pryleugan']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1959 and is indicated for enuresis and has 2 investigational indications. This drug has a black box warning from the FDA.,,,"['EFO_0000519', 'MONDO_0024290', 'MONDO_0002050']",3.0,"['ENSG00000103546', 'ENSG00000108576']",2,1959.0,CHEMBL11,['imipramine%20hydrochloride'],"['144211734', '26747552', '26747553', '26751601', '50106516', '50106517', '50106518', '56422890', '855555']",['5882'],,,,,
CHEMBL17860,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,KSMAGQUYOIHWFS-UHFFFAOYSA-N,Small molecule,False,LOFEXIDINE,4.0,False,True,[],['Lofexidine'],['CHEMBL1788132'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and is indicated for substance withdrawal syndrome and drug dependence and has 6 investigational indications.,['Lofexidine'],['DB04948'],"['EFO_0005800', 'EFO_0003890', 'HP_0001399', 'EFO_0004240', 'EFO_0005611', 'EFO_0010702', 'EFO_0002610', 'EFO_0007191', 'EFO_0005611']",9.0,"['ENSG00000150594', 'ENSG00000184160', 'ENSG00000274286']",3,2018.0,,,['170466275'],['51368'],,,,,
CHEMBL189171,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,FSQKKOOTNAMONP-UHFFFAOYSA-N,Small molecule,False,ACEMETACIN,4.0,False,True,['Emflex'],"['Acemetacin', 'NSC-757413', 'Rantudil']",,Small molecule drug with a maximum clinical trial phase of IV and is indicated for rheumatic disease.,['Acemetacin'],['DB13783'],['EFO_0005755'],1.0,"['ENSG00000073756', 'ENSG00000095303']",2,,,,"['11112782', '124882621', '144207022', '170466043', '174007220', '26746953', '855677']",['31162'],,,,,
CHEMBL2103828,CNc1cc2[nH]c(=O)n(-c3ccc(NC(=O)NS(=O)(=O)c4ccc(Cl)s4)cc3)c(=O)c2cc1F,LGSDFTPAICUONK-UHFFFAOYSA-N,Small molecule,False,ELINOGREL,2.0,False,False,[],"['Elinogrel', 'PRT 060128', 'PRT-060128', 'Prt060128']",['CHEMBL2105641'],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,['DB06350'],"['EFO_0000612', 'EFO_0003086']",2.0,['ENSG00000169313'],1,,,,,,,,,,
CHEMBL2105671,O=C(O)C(O)C(O)C(=O)O.OC[C@H]1CNC[C@@H](O)[C@@H]1O,ULBPPCHRAVUQMC-RWOHWRPJSA-N,Small molecule,False,AFEGOSTAT TARTRATE,2.0,False,False,[],"['AT-2101', 'AT2101', 'Afegostat tartrate', 'HGT-3410', 'Isofagomine tartrate', 'Plicera']",,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,,['MONDO_0018150'],1.0,['ENSG00000177628'],1,,CHEMBL206468,,,,,,,,
CHEMBL3184679,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,VRQMAABPASPXMW-UHFFFAOYSA-N,Small molecule,False,AZD-4547,2.0,False,False,[],"['ABSK-091', 'ABSK091', 'AZD-4547', 'Azd 4547', 'Azd-4547', 'Azd4547', 'KB-74810']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 11 investigational indications.,,,"['EFO_0000707', 'EFO_0000228', 'MONDO_0004992', 'MONDO_0001056', 'EFO_0000708', 'MONDO_0007254', 'EFO_0000326', 'EFO_0008528', 'EFO_0003060', 'EFO_0001378', 'MONDO_0001187']",11.0,"['ENSG00000068078', 'ENSG00000077782', 'ENSG00000160867', 'ENSG00000066468']",4,,,,['174006594'],,,,,,
CHEMBL3951811,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCC[C@H](N2CCN(CCO)CC2)C3)ncc1Cl,BCSHRERPHLTPEE-NRFANRHFSA-N,Small molecule,False,CEP-37440,1.0,False,False,[],"['Alk-fak inhibitor cep-37440', 'Cep-37440']",,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,['DB13060'],['EFO_0000616'],1.0,"['ENSG00000169398', 'ENSG00000171094']",2,,,,,,,,,,
CHEMBL3989989,,,Gene,True,AXICABTAGENE CILOLEUCEL,4.0,False,True,['Yescarta'],"['Axicabtagene ciloleucel', 'KTE-C19', 'Yescarta']",,Gene drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and has 3 approved and 3 investigational indications. This drug has a black box warning from the FDA.,,,"['EFO_0001642', 'EFO_1001469', 'MONDO_0018906', 'EFO_0000574', 'EFO_0000403', 'EFO_0000096']",6.0,['ENSG00000177455'],1,2018.0,,,,,['https://www.ema.europa.eu/en/medicines/human/EPAR/yescarta'],,,,
CHEMBL4594333,,,Gene,False,ELIVALDOGENE AUTOTEMCEL,4.0,False,True,['Skysona'],"['Elivaldogene autotemcel', 'Lenti-D Drug substance']",,Gene drug with a maximum clinical trial phase of IV that was first approved in 2021 and is indicated for x-linked adrenoleukodystrophy.,,,['Orphanet_43'],1.0,['ENSG00000101986'],1,2021.0,,,,,['https://www.ema.europa.eu/en/medicines/human/EPAR/skysona'],['https://searchusan.ama-assn.org/finder/usan/search/ELIVALDOGENE%20AUTOTEMCEL/relevant/1/'],,,
