mondo_disease_id	disease_label	mondo_ancestor_id	ancestor_label
MONDO_0013548	acetyl-CoA acetyltransferase-2 deficiency	MONDO_0003847	hereditary disease
MONDO_0700121	ACTL6A-related BAFopathy	MONDO_0003847	hereditary disease
MONDO_0005308	ciliopathy	MONDO_0003847	hereditary disease
MONDO_0016484	Usher syndrome type 2	MONDO_0003847	hereditary disease
MONDO_0016484	Usher syndrome type 2	MONDO_0002254	syndromic disease
MONDO_0030897	Lessel-Kreienkamp syndrome	MONDO_0003847	hereditary disease
MONDO_0100176	AP-4 deficiency syndrome	MONDO_0003847	hereditary disease
MONDO_0060583	platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	MONDO_0003847	hereditary disease
MONDO_0012075	oligodontia-cancer predisposition syndrome	MONDO_0003847	hereditary disease
MONDO_0700237	BBS10-related ciliopathy	MONDO_0003847	hereditary disease
MONDO_0700236	BBS9-related ciliopathy	MONDO_0003847	hereditary disease
MONDO_0014914	Dias-Logan syndrome	MONDO_0003847	hereditary disease
MONDO_0026727	Shukla-Vernon syndrome	MONDO_0003847	hereditary disease
MONDO_0013308	CBL-related disorder	MONDO_0003847	hereditary disease
MONDO_0100069	hearing impairment and infertile male syndrome	MONDO_0002254	syndromic disease
MONDO_0030674	Teebi hypertelorism syndrome 2	MONDO_0003847	hereditary disease
MONDO_0100039	CDKL5 disorder	MONDO_0003847	hereditary disease
MONDO_0100451	CEP290-related ciliopathy	MONDO_0003847	hereditary disease
MONDO_0032600	Snijders Blok-Campeau syndrome	MONDO_0003847	hereditary disease
MONDO_0010168	Usher syndrome type 1	MONDO_0003847	hereditary disease
MONDO_0010168	Usher syndrome type 1	MONDO_0002254	syndromic disease
MONDO_0018105	Wolfram syndrome	MONDO_0002254	syndromic disease
MONDO_0030947	neurodegeneration, childhood-onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities	MONDO_0003847	hereditary disease
MONDO_0032805	hypopigmentation, organomegaly, and delayed myelination and development	MONDO_0003847	hereditary disease
MONDO_0023880	WHIM syndrome	MONDO_0003847	hereditary disease
MONDO_0032579	warburg-cinotti syndrome	MONDO_0003847	hereditary disease
MONDO_0100216	DICER1-related tumor predisposition	MONDO_0003847	hereditary disease
MONDO_0100216	DICER1-related tumor predisposition	MONDO_0002254	syndromic disease
MONDO_0032882	Heyn-Sproul-Jackson syndrome	MONDO_0003847	hereditary disease
MONDO_0031632	developmental delay with short stature, dysmorphic facial features, and sparse hair	MONDO_0003847	hereditary disease
MONDO_0060510	Cohen-Gibson syndrome	MONDO_0003847	hereditary disease
MONDO_0014227	hypopigmentation-punctate palmoplantar keratoderma syndrome	MONDO_0003847	hereditary disease
MONDO_0010589	Aarskog-Scott syndrome, X-linked	MONDO_0003847	hereditary disease
MONDO_0010589	Aarskog-Scott syndrome, X-linked	MONDO_0002254	syndromic disease
