disease_label	mondo_disease_id
+++++++++++++	++++++++++++++++++
obsolete adult hypophosphatasia	MONDO_0007798
obsolete childhood hypophosphatasia	MONDO_0009428
obsolete infantile hypophosphatasia	MONDO_0009427
focal segmental glomerulosclerosis 4, susceptibility to	MONDO_0012931
obsolete glaucoma 1, open angle, F	MONDO_0011311
malignant hyperthermia, susceptibility to, 5	MONDO_0011163
focal segmental glomerulosclerosis 3, susceptibility to	MONDO_0011917
susceptibility to respiratory infections associated with CD8alpha chain mutation	MONDO_0012161
obsolete neuronopathy, distal hereditary motor	MONDO_0000075
obsolete Birt-Hogg-Dube syndrome	MONDO_0007607
obsolete early infantile epileptic encephalopathy	MONDO_0016021
obsolete hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency	MONDO_0009278
obsolete sickle cell disease and related diseases	MONDO_0017146
amyotrophic lateral sclerosis, susceptibility to, 25	MONDO_0060670
obsolete Stüve-Wiedemann syndrome	MONDO_0011108
obsolete lysosomal acid lipase deficiency	MONDO_0010204
obsolete axonal hereditary motor and sensory neuropathy	MONDO_0018775
obsolete Carey-Fineman-Ziter syndrome	MONDO_0009700
amyotrophic lateral sclerosis, susceptibility to, 24	MONDO_0054750
glaucoma, normal tension, susceptibility to	MONDO_0011693
epidermodysplasia verruciformis, susceptibility to, 4	MONDO_0032666
malignant hyperthermia, susceptibility to, 1	MONDO_0007783
obsolete autosomal dominant hereditary sensory and autonomic neuropathy	MONDO_0015365
obsolete autosomal recessive hereditary demyelinating motor and sensory neuropathy	MONDO_0015361
Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	MONDO_0013956
obsolete hereditary ATTR amyloidosis	MONDO_0017132
obsolete glaucoma 1, open angle, G	MONDO_0012357
obsolete lethal restrictive dermopathy	MONDO_0010143
obsolete familial isolated dilated cardiomyopathy	MONDO_0015470
