Ontology ID	Ancestor	Ancestor Name
EFO_0007963	EFO_0007963	abnormal paneth cell measurement
EFO_0006797	EFO_0004464	brain measurement
EFO_0010147	EFO_0004464	brain measurement
EFO_0009404	EFO_0004464	brain measurement
EFO_0009179	EFO_0004464	brain measurement
EFO_0010314	EFO_0004464	brain measurement
EFO_0010336	EFO_0004464	brain measurement
EFO_0006516	EFO_0004464	brain measurement
EFO_0009328	EFO_0004464	brain measurement
EFO_0010325	EFO_0004464	brain measurement
EFO_0009400	EFO_0004464	brain measurement
EFO_0010297	EFO_0004464	brain measurement
EFO_0008381	EFO_0004464	brain measurement
EFO_0021502	EFO_0004464	brain measurement
EFO_0010317	EFO_0004464	brain measurement
EFO_0006934	EFO_0004464	brain measurement
EFO_0007738	EFO_0004464	brain measurement
EFO_0010293	EFO_0004464	brain measurement
EFO_0010330	EFO_0004464	brain measurement
EFO_0010699	EFO_0004464	brain measurement
EFO_0010327	EFO_0004464	brain measurement
EFO_0004464	EFO_0004464	brain measurement
EFO_0009097	EFO_0004464	brain measurement
EFO_0006883	EFO_0004464	brain measurement
EFO_0007739	EFO_0004464	brain measurement
EFO_0004913	EFO_0004464	brain measurement
EFO_0009405	EFO_0004464	brain measurement
EFO_0021496	EFO_0004464	brain measurement
EFO_0004358	EFO_0004464	brain measurement
EFO_0004840	EFO_0004464	brain measurement
EFO_0008420	EFO_0004464	brain measurement
EFO_0008387	EFO_0004464	brain measurement
EFO_0010337	EFO_0004464	brain measurement
EFO_0010308	EFO_0004464	brain measurement
EFO_0004641	EFO_0004464	brain measurement
EFO_0009750	EFO_0004464	brain measurement
EFO_0009396	EFO_0004464	brain measurement
EFO_0008487	EFO_0004464	brain measurement
EFO_0007697	EFO_0004464	brain measurement
EFO_0010290	EFO_0004464	brain measurement
EFO_0007021	EFO_0004464	brain measurement
EFO_0010287	EFO_0004464	brain measurement
EFO_0009326	EFO_0004464	brain measurement
EFO_0010322	EFO_0004464	brain measurement
EFO_0010309	EFO_0004464	brain measurement
EFO_0009334	EFO_0004464	brain measurement
EFO_0010328	EFO_0004464	brain measurement
EFO_0009401	EFO_0004464	brain measurement
EFO_0010300	EFO_0004464	brain measurement
EFO_0006870	EFO_0004464	brain measurement
EFO_0021503	EFO_0004464	brain measurement
EFO_0021493	EFO_0004464	brain measurement
EFO_0010298	EFO_0004464	brain measurement
EFO_0010319	EFO_0004464	brain measurement
EFO_0006935	EFO_0004464	brain measurement
EFO_0004357	EFO_0004464	brain measurement
EFO_0007746	EFO_0004464	brain measurement
EFO_0010299	EFO_0004464	brain measurement
EFO_0010332	EFO_0004464	brain measurement
EFO_0010750	EFO_0004464	brain measurement
EFO_0010291	EFO_0004464	brain measurement
EFO_0009098	EFO_0004464	brain measurement
EFO_0021491	EFO_0004464	brain measurement
EFO_0021501	EFO_0004464	brain measurement
EFO_0010288	EFO_0004464	brain measurement
EFO_0005035	EFO_0004464	brain measurement
EFO_0021492	EFO_0004464	brain measurement
EFO_0008367	EFO_0004464	brain measurement
EFO_0005665	EFO_0004464	brain measurement
EFO_0010144	EFO_0004464	brain measurement
EFO_0008388	EFO_0004464	brain measurement
EFO_0010605	EFO_0004464	brain measurement
EFO_0010316	EFO_0004464	brain measurement
EFO_0006871	EFO_0004464	brain measurement
EFO_0009945	EFO_0004464	brain measurement
EFO_0009397	EFO_0004464	brain measurement
EFO_0010736	EFO_0004464	brain measurement
EFO_0008368	EFO_0004464	brain measurement
EFO_0010304	EFO_0004464	brain measurement
EFO_0010940	EFO_0004464	brain measurement
EFO_0010294	EFO_0004464	brain measurement
EFO_0009332	EFO_0004464	brain measurement
EFO_0010307	EFO_0004464	brain measurement
EFO_0010289	EFO_0004464	brain measurement
EFO_0009335	EFO_0004464	brain measurement
EFO_0010329	EFO_0004464	brain measurement
EFO_0004830	EFO_0004464	brain measurement
EFO_0021495	EFO_0004464	brain measurement
EFO_0010318	EFO_0004464	brain measurement
EFO_0010320	EFO_0004464	brain measurement
EFO_0006872	EFO_0004464	brain measurement
EFO_0008080	EFO_0004464	brain measurement
EFO_0010303	EFO_0004464	brain measurement
EFO_0010286	EFO_0004464	brain measurement
EFO_0006931	EFO_0004464	brain measurement
EFO_0021500	EFO_0004464	brain measurement
EFO_0009099	EFO_0004464	brain measurement
EFO_0008369	EFO_0004464	brain measurement
EFO_0006799	EFO_0004464	brain measurement
EFO_0010570	EFO_0004464	brain measurement
EFO_0005089	EFO_0004464	brain measurement
EFO_0803381	EFO_0004464	brain measurement
EFO_0022046	EFO_0004464	brain measurement
EFO_0008370	EFO_0004464	brain measurement
EFO_0005674	EFO_0004464	brain measurement
EFO_0010145	EFO_0004464	brain measurement
EFO_0009402	EFO_0004464	brain measurement
EFO_0008389	EFO_0004464	brain measurement
EFO_0021789	EFO_0004464	brain measurement
EFO_0010301	EFO_0004464	brain measurement
EFO_0010331	EFO_0004464	brain measurement
EFO_0009325	EFO_0004464	brain measurement
EFO_0009398	EFO_0004464	brain measurement
EFO_0006873	EFO_0004464	brain measurement
EFO_0006793	EFO_0004464	brain measurement
EFO_0010312	EFO_0004464	brain measurement
EFO_0020864	EFO_0004464	brain measurement
EFO_0009700	EFO_0004464	brain measurement
EFO_0010323	EFO_0004464	brain measurement
EFO_0010310	EFO_0004464	brain measurement
EFO_0803378	EFO_0004464	brain measurement
EFO_0022047	EFO_0004464	brain measurement
EFO_0004868	EFO_0004464	brain measurement
EFO_0021494	EFO_0004464	brain measurement
EFO_0009403	EFO_0004464	brain measurement
EFO_0010321	EFO_0004464	brain measurement
EFO_0008320	EFO_0004464	brain measurement
EFO_0007849	EFO_0004464	brain measurement
EFO_0010313	EFO_0004464	brain measurement
EFO_0010302	EFO_0004464	brain measurement
EFO_0006932	EFO_0004464	brain measurement
EFO_0010295	EFO_0004464	brain measurement
EFO_0009100	EFO_0004464	brain measurement
EFO_0009394	EFO_0004464	brain measurement
EFO_0008358	EFO_0004464	brain measurement
EFO_0005092	EFO_0004464	brain measurement
EFO_0021504	EFO_0004464	brain measurement
EFO_0021498	EFO_0004464	brain measurement
EFO_0005852	EFO_0004464	brain measurement
EFO_0010146	EFO_0004464	brain measurement
EFO_0010083	EFO_0004464	brain measurement
EFO_0009095	EFO_0004464	brain measurement
EFO_0021790	EFO_0004464	brain measurement
EFO_0010311	EFO_0004464	brain measurement
EFO_0006930	EFO_0004464	brain measurement
EFO_0010334	EFO_0004464	brain measurement
EFO_0009327	EFO_0004464	brain measurement
EFO_0009399	EFO_0004464	brain measurement
EFO_0021497	EFO_0004464	brain measurement
EFO_0004771	EFO_0004464	brain measurement
EFO_0010333	EFO_0004464	brain measurement
EFO_0010315	EFO_0004464	brain measurement
EFO_0006933	EFO_0004464	brain measurement
EFO_0007646	EFO_0004464	brain measurement
EFO_0010292	EFO_0004464	brain measurement
EFO_0010326	EFO_0004464	brain measurement
EFO_0010602	EFO_0004464	brain measurement
EFO_0010324	EFO_0004464	brain measurement
EFO_0009096	EFO_0004464	brain measurement
EFO_0010306	EFO_0004464	brain measurement
EFO_0803382	EFO_0004464	brain measurement
EFO_0004886	EFO_0004464	brain measurement
EFO_0021490	EFO_0004464	brain measurement
EFO_0008399	EFO_0004464	brain measurement
EFO_0007980	EFO_0004464	brain measurement
EFO_0010335	EFO_0004464	brain measurement
EFO_0010305	EFO_0004464	brain measurement
EFO_0010296	EFO_0004464	brain measurement
EFO_0009103	EFO_0004464	brain measurement
EFO_0009395	EFO_0004464	brain measurement
EFO_0005420	EFO_0004464	brain measurement
EFO_0021499	EFO_0004464	brain measurement
EFO_0009278	EFO_0009278	cranial vault morphology measurement
EFO_0004508	EFO_0004512	bone measurement
EFO_0008039	EFO_0004512	bone measurement
EFO_0004511	EFO_0004512	bone measurement
EFO_0004512	EFO_0004512	bone measurement
EFO_0004844	EFO_0004512	bone measurement
EFO_0007591	EFO_0004512	bone measurement
EFO_0005654	EFO_0004512	bone measurement
EFO_0004516	EFO_0004512	bone measurement
EFO_0010076	EFO_0004512	bone measurement
EFO_0020105	EFO_0004512	bone measurement
EFO_0005093	EFO_0004512	bone measurement
EFO_0004980	EFO_0004512	bone measurement
EFO_0010075	EFO_0004512	bone measurement
EFO_0020104	EFO_0004512	bone measurement
EFO_0010074	EFO_0004512	bone measurement
EFO_0009270	EFO_0004512	bone measurement
EFO_0020095	EFO_0004512	bone measurement
EFO_0008038	EFO_0004512	bone measurement
EFO_0004514	EFO_0004512	bone measurement
EFO_0007933	EFO_0004512	bone measurement
EFO_0007785	EFO_0004512	bone measurement
EFO_0600018	EFO_0004512	bone measurement
EFO_0007702	EFO_0004512	bone measurement
EFO_0008474	EFO_0004512	bone measurement
EFO_0004685	EFO_0004512	bone measurement
EFO_0004513	EFO_0004512	bone measurement
EFO_0007621	EFO_0004512	bone measurement
EFO_0004533	EFO_0004512	bone measurement
EFO_0007701	EFO_0004512	bone measurement
EFO_0007772	EFO_0004512	bone measurement
EFO_0003923	EFO_0004512	bone measurement
EFO_0007620	EFO_0004512	bone measurement
EFO_0005413	EFO_0005413	joint damage measurement
EFO_0007905	EFO_0007905	joint hypermobility measurement
EFO_0010377	EFO_0004298	cardiovascular measurement
EFO_0020871	EFO_0004298	cardiovascular measurement
EFO_0006828	EFO_0004298	cardiovascular measurement
EFO_0008204	EFO_0004298	cardiovascular measurement
EFO_0020059	EFO_0004298	cardiovascular measurement
EFO_0005053	EFO_0004298	cardiovascular measurement
EFO_0801129	EFO_0004298	cardiovascular measurement
EFO_0009185	EFO_0004298	cardiovascular measurement
EFO_0004534	EFO_0004298	cardiovascular measurement
EFO_0021826	EFO_0004298	cardiovascular measurement
EFO_0010359	EFO_0004298	cardiovascular measurement
EFO_0010229	EFO_0004298	cardiovascular measurement
EFO_0021458	EFO_0004298	cardiovascular measurement
EFO_0008334	EFO_0004298	cardiovascular measurement
EFO_0021819	EFO_0004298	cardiovascular measurement
EFO_0009291	EFO_0004298	cardiovascular measurement
EFO_0004327	EFO_0004298	cardiovascular measurement
EFO_0021465	EFO_0004298	cardiovascular measurement
EFO_0004572	EFO_0004298	cardiovascular measurement
EFO_0010382	EFO_0004298	cardiovascular measurement
EFO_0007740	EFO_0004298	cardiovascular measurement
EFO_0010600	EFO_0004298	cardiovascular measurement
EFO_0021786	EFO_0004298	cardiovascular measurement
EFO_0010355	EFO_0004298	cardiovascular measurement
EFO_0004791	EFO_0004298	cardiovascular measurement
EFO_0010367	EFO_0004298	cardiovascular measurement
EFO_0020938	EFO_0004298	cardiovascular measurement
EFO_0005527	EFO_0004298	cardiovascular measurement
EFO_0801143	EFO_0004298	cardiovascular measurement
EFO_0020066	EFO_0004298	cardiovascular measurement
EFO_0004724	EFO_0004298	cardiovascular measurement
EFO_0005054	EFO_0004298	cardiovascular measurement
EFO_0003912	EFO_0004298	cardiovascular measurement
EFO_0010364	EFO_0004298	cardiovascular measurement
EFO_0006920	EFO_0004298	cardiovascular measurement
EFO_0020942	EFO_0004298	cardiovascular measurement
EFO_0021463	EFO_0004298	cardiovascular measurement
EFO_0011034	EFO_0004298	cardiovascular measurement
EFO_0021821	EFO_0004298	cardiovascular measurement
EFO_0006800	EFO_0004298	cardiovascular measurement
EFO_0010373	EFO_0004298	cardiovascular measurement
EFO_0010387	EFO_0004298	cardiovascular measurement
EFO_0006823	EFO_0004298	cardiovascular measurement
EFO_0006335	EFO_0004298	cardiovascular measurement
EFO_0020055	EFO_0004298	cardiovascular measurement
EFO_0021475	EFO_0004298	cardiovascular measurement
EFO_0004351	EFO_0004298	cardiovascular measurement
EFO_0021822	EFO_0004298	cardiovascular measurement
EFO_0020868	EFO_0004298	cardiovascular measurement
EFO_0021454	EFO_0004298	cardiovascular measurement
EFO_0021470	EFO_0004298	cardiovascular measurement
EFO_0009946	EFO_0004298	cardiovascular measurement
EFO_0004885	EFO_0004298	cardiovascular measurement
EFO_0009287	EFO_0004298	cardiovascular measurement
EFO_0009256	EFO_0004298	cardiovascular measurement
EFO_0600025	EFO_0004298	cardiovascular measurement
EFO_0010378	EFO_0004298	cardiovascular measurement
EFO_0004762	EFO_0004298	cardiovascular measurement
EFO_0021466	EFO_0004298	cardiovascular measurement
EFO_0020863	EFO_0004298	cardiovascular measurement
EFO_0004745	EFO_0004298	cardiovascular measurement
EFO_0008205	EFO_0004298	cardiovascular measurement
EFO_0020062	EFO_0004298	cardiovascular measurement
EFO_0005126	EFO_0004298	cardiovascular measurement
EFO_0801130	EFO_0004298	cardiovascular measurement
EFO_0004462	EFO_0004298	cardiovascular measurement
EFO_0021827	EFO_0004298	cardiovascular measurement
EFO_0010360	EFO_0004298	cardiovascular measurement
EFO_0010230	EFO_0004298	cardiovascular measurement
EFO_0021459	EFO_0004298	cardiovascular measurement
