hp_label	hp_id
Abnormality of prenatal development or birth	HP_0001197
Growth abnormality	HP_0001507
Abnormality of the musculoskeletal system	HP_0033127
Abnormality of limbs	HP_0040064
Abnormality of the cardiovascular system	HP_0001626
Abnormality of the immune system	HP_0002715
Abnormality of the nervous system	HP_0000707
Abnormality of metabolism/homeostasis	HP_0001939
Abnormality of the respiratory system	HP_0002086
Abnormality of the digestive system	HP_0025031
Abnormality of the endocrine system	HP_0000818
Abnormality of the integument	HP_0001574
Abnormality of blood and blood-forming tissues	HP_0001871
Abnormality of the genitourinary system	HP_0000119
Abnormality of head or neck	HP_0000152
