mondo_id	mondo_label
MONDO_0021147	disorder of development or morphogenesis
MONDO_0002081	musculoskeletal system disorder
MONDO_0004995	cardiovascular disorder
MONDO_0005046	immune system disorder
MONDO_0005071	nervous system disorder
MONDO_0044970	mitochondrial disease
MONDO_0005066	metabolic disease
MONDO_0005087	respiratory system disorder
MONDO_0002022	disorder of orbital region
MONDO_0002025	psychiatric disorder
MONDO_0024458	disorder of visual system
MONDO_0004335	digestive system disorder
MONDO_0005151	endocrine system disorder
MONDO_0002051	integumentary system disorder
MONDO_0005570	hematologic disorder
MONDO_0005137	nutritional disorder
MONDO_0019303	premature aging syndrome
MONDO_0002409	auditory system disorder
MONDO_0003900	connective tissue disorder
MONDO_0005039	reproductive system disorder
MONDO_0002118	urinary system disorder
MONDO_0045024	cancer or benign tumor
MONDO_0002657	breast disorder
MONDO_0021166	inflammatory disease
MONDO_0006858	mouth disorder
MONDO_0024623	otorhinolaryngologic disease
MONDO_0700003	obstetric disorder
