	Ontology ID	Ancestor	Ancestor Name
0	MONDO_0009161	MONDO_0003847	hereditary disease
1	MONDO_0018465	MONDO_0003847	hereditary disease
2	MONDO_0800369	MONDO_0003847	hereditary disease
3	MONDO_0011018	MONDO_0003847	hereditary disease
4	MONDO_0018933	MONDO_0003847	hereditary disease
5	MONDO_0032919	MONDO_0003847	hereditary disease
6	MONDO_0009671	MONDO_0003847	hereditary disease
7	MONDO_0005500	MONDO_0003847	hereditary disease
8	MONDO_0958190	MONDO_0003847	hereditary disease
9	MONDO_0054732	MONDO_0003847	hereditary disease
10	MONDO_0030465	MONDO_0003847	hereditary disease
11	MONDO_0010472	MONDO_0003847	hereditary disease
12	MONDO_0013428	MONDO_0003847	hereditary disease
13	MONDO_0009886	MONDO_0003847	hereditary disease
14	MONDO_0000709	MONDO_0003847	hereditary disease
15	MONDO_0011186	MONDO_0003847	hereditary disease
16	MONDO_0014683	MONDO_0003847	hereditary disease
17	MONDO_0020732	MONDO_0003847	hereditary disease
18	MONDO_0054733	MONDO_0003847	hereditary disease
19	MONDO_0011670	MONDO_0003847	hereditary disease
20	MONDO_0859362	MONDO_0003847	hereditary disease
21	MONDO_0008374	MONDO_0003847	hereditary disease
22	MONDO_0011261	MONDO_0003847	hereditary disease
23	MONDO_0019413	MONDO_0003847	hereditary disease
24	MONDO_0032939	MONDO_0003847	hereditary disease
25	MONDO_0009708	MONDO_0003847	hereditary disease
26	MONDO_0013100	MONDO_0003847	hereditary disease
27	MONDO_0005115	MONDO_0003847	hereditary disease
28	MONDO_0003993	MONDO_0003847	hereditary disease
29	MONDO_0100092	MONDO_0003847	hereditary disease
30	MONDO_0010848	MONDO_0003847	hereditary disease
31	MONDO_0010752	MONDO_0003847	hereditary disease
32	MONDO_0032735	MONDO_0003847	hereditary disease
33	MONDO_0021569	MONDO_0003847	hereditary disease
34	MONDO_0010542	MONDO_0003847	hereditary disease
35	MONDO_0010632	MONDO_0003847	hereditary disease
36	MONDO_0009888	MONDO_0003847	hereditary disease
37	MONDO_0005534	MONDO_0003847	hereditary disease
38	MONDO_0011195	MONDO_0003847	hereditary disease
39	MONDO_0012138	MONDO_0003847	hereditary disease
40	MONDO_0008314	MONDO_0003847	hereditary disease
41	MONDO_0056795	MONDO_0003847	hereditary disease
42	MONDO_0012114	MONDO_0003847	hereditary disease
43	MONDO_1030000	MONDO_0003847	hereditary disease
44	MONDO_0012475	MONDO_0003847	hereditary disease
45	MONDO_0011496	MONDO_0003847	hereditary disease
46	MONDO_0021002	MONDO_0003847	hereditary disease
47	MONDO_0007620	MONDO_0003847	hereditary disease
48	MONDO_0054837	MONDO_0003847	hereditary disease
49	MONDO_0019948	MONDO_0003847	hereditary disease
50	MONDO_0013513	MONDO_0003847	hereditary disease
51	MONDO_0003995	MONDO_0003847	hereditary disease
52	MONDO_0100093	MONDO_0003847	hereditary disease
53	MONDO_0010178	MONDO_0003847	hereditary disease
54	MONDO_0100436	MONDO_0003847	hereditary disease
55	MONDO_0010911	MONDO_0003847	hereditary disease
56	MONDO_0013430	MONDO_0003847	hereditary disease
57	MONDO_0009896	MONDO_0003847	hereditary disease
58	MONDO_0011748	MONDO_0003847	hereditary disease
59	MONDO_0011175	MONDO_0003847	hereditary disease
60	MONDO_0016801	MONDO_0003847	hereditary disease
61	MONDO_0008317	MONDO_0003847	hereditary disease
62	MONDO_0859338	MONDO_0003847	hereditary disease
63	MONDO_0958356	MONDO_0003847	hereditary disease
64	MONDO_0013800	MONDO_0003847	hereditary disease
65	MONDO_0006065	MONDO_0003847	hereditary disease
66	MONDO_0007471	MONDO_0003847	hereditary disease
67	MONDO_0011773	MONDO_0003847	hereditary disease
68	MONDO_0007690	MONDO_0003847	hereditary disease
69	MONDO_0957536	MONDO_0003847	hereditary disease
70	MONDO_0010591	MONDO_0003847	hereditary disease
71	MONDO_0013530	MONDO_0003847	hereditary disease
72	MONDO_0004013	MONDO_0003847	hereditary disease
73	MONDO_0016103	MONDO_0003847	hereditary disease
74	MONDO_0010511	MONDO_0003847	hereditary disease
75	MONDO_0859382	MONDO_0003847	hereditary disease
76	MONDO_0054601	MONDO_0003847	hereditary disease
77	MONDO_0958357	MONDO_0003847	hereditary disease
78	MONDO_0012245	MONDO_0003847	hereditary disease
79	MONDO_0009898	MONDO_0003847	hereditary disease
80	MONDO_0006038	MONDO_0003847	hereditary disease
81	MONDO_0100340	MONDO_0003847	hereditary disease
82	MONDO_0008320	MONDO_0003847	hereditary disease
83	MONDO_0859352	MONDO_0003847	hereditary disease
84	MONDO_0016290	MONDO_0003847	hereditary disease
85	MONDO_0017779	MONDO_0003847	hereditary disease
86	MONDO_0008865	MONDO_0003847	hereditary disease
87	MONDO_0015799	MONDO_0003847	hereditary disease
88	MONDO_0007738	MONDO_0003847	hereditary disease
89	MONDO_0008393	MONDO_0003847	hereditary disease
90	MONDO_0013544	MONDO_0003847	hereditary disease
91	MONDO_0008789	MONDO_0003847	hereditary disease
92	MONDO_0016156	MONDO_0003847	hereditary disease
93	MONDO_0800311	MONDO_0003847	hereditary disease
94	MONDO_0054665	MONDO_0003847	hereditary disease
95	MONDO_0013431	MONDO_0003847	hereditary disease
96	MONDO_0009899	MONDO_0003847	hereditary disease
97	MONDO_0005217	MONDO_0003847	hereditary disease
98	MONDO_0024278	MONDO_0003847	hereditary disease
99	MONDO_0012968	MONDO_0003847	hereditary disease
100	MONDO_0007295	MONDO_0003847	hereditary disease
101	MONDO_0800301	MONDO_0003847	hereditary disease
102	MONDO_0008321	MONDO_0003847	hereditary disease
103	MONDO_0010564	MONDO_0003847	hereditary disease
104	MONDO_0859364	MONDO_0003847	hereditary disease
105	MONDO_0016469	MONDO_0003847	hereditary disease
106	MONDO_0009236	MONDO_0003847	hereditary disease
107	MONDO_0012019	MONDO_0003847	hereditary disease
108	MONDO_0020523	MONDO_0003847	hereditary disease
109	MONDO_0008790	MONDO_0003847	hereditary disease
110	MONDO_0010898	MONDO_0003847	hereditary disease
111	MONDO_0016184	MONDO_0003847	hereditary disease
112	MONDO_0006248	MONDO_0003847	hereditary disease
113	MONDO_0018670	MONDO_0003847	hereditary disease
114	MONDO_0007111	MONDO_0003847	hereditary disease
115	MONDO_0008557	MONDO_0003847	hereditary disease
116	MONDO_0012812	MONDO_0003847	hereditary disease
117	MONDO_0009907	MONDO_0003847	hereditary disease
118	MONDO_0016333	MONDO_0003847	hereditary disease
119	MONDO_0013935	MONDO_0003847	hereditary disease
120	MONDO_0012430	MONDO_0003847	hereditary disease
121	MONDO_0008324	MONDO_0003847	hereditary disease
122	MONDO_0010565	MONDO_0003847	hereditary disease
123	MONDO_0859477	MONDO_0003847	hereditary disease
124	MONDO_0016470	MONDO_0003847	hereditary disease
125	MONDO_0007630	MONDO_0003847	hereditary disease
126	MONDO_0012716	MONDO_0003847	hereditary disease
127	MONDO_0009070	MONDO_0003847	hereditary disease
128	MONDO_0020602	MONDO_0003847	hereditary disease
129	MONDO_0018458	MONDO_0003847	hereditary disease
130	MONDO_0013364	MONDO_0003847	hereditary disease
131	MONDO_0011577	MONDO_0003847	hereditary disease
132	MONDO_0013545	MONDO_0003847	hereditary disease
133	MONDO_0010480	MONDO_0003847	hereditary disease
134	MONDO_0020300	MONDO_0003847	hereditary disease
135	MONDO_0016185	MONDO_0003847	hereditary disease
136	MONDO_0011464	MONDO_0003847	hereditary disease
137	MONDO_0023178	MONDO_0003847	hereditary disease
138	MONDO_0001270	MONDO_0003847	hereditary disease
139	MONDO_0010468	MONDO_0003847	hereditary disease
140	MONDO_0018268	MONDO_0003847	hereditary disease
141	MONDO_0013432	MONDO_0003847	hereditary disease
142	MONDO_0009909	MONDO_0003847	hereditary disease
143	MONDO_0017749	MONDO_0003847	hereditary disease
144	MONDO_0005532	MONDO_0003847	hereditary disease
145	MONDO_0014001	MONDO_0003847	hereditary disease
146	MONDO_0008325	MONDO_0003847	hereditary disease
147	MONDO_0859478	MONDO_0003847	hereditary disease
148	MONDO_0008029	MONDO_0003847	hereditary disease
149	MONDO_0012139	MONDO_0003847	hereditary disease
150	MONDO_0013228	MONDO_0003847	hereditary disease
151	MONDO_0009249	MONDO_0003847	hereditary disease
152	MONDO_0016390	MONDO_0003847	hereditary disease
153	MONDO_0012929	MONDO_0003847	hereditary disease
154	MONDO_0008545	MONDO_0003847	hereditary disease
155	MONDO_0012276	MONDO_0003847	hereditary disease
156	MONDO_0014489	MONDO_0003847	hereditary disease
157	MONDO_0007186	MONDO_0003847	hereditary disease
158	MONDO_0023179	MONDO_0003847	hereditary disease
159	MONDO_0001335	MONDO_0003847	hereditary disease
160	MONDO_0010633	MONDO_0003847	hereditary disease
161	MONDO_0012053	MONDO_0003847	hereditary disease
162	MONDO_0018269	MONDO_0003847	hereditary disease
163	MONDO_0013254	MONDO_0003847	hereditary disease
164	MONDO_0700276	MONDO_0003847	hereditary disease
165	MONDO_0012556	MONDO_0003847	hereditary disease
166	MONDO_0005535	MONDO_0003847	hereditary disease
167	MONDO_0100050	MONDO_0003847	hereditary disease
168	MONDO_0013188	MONDO_0003847	hereditary disease
169	MONDO_0008330	MONDO_0003847	hereditary disease
170	MONDO_0859522	MONDO_0003847	hereditary disease
