Ontology ID	Name
MONDO_0003847	hereditary disease
MONDO_0005039	reproductive system disorder
MONDO_0021147	disorder of development or morphogenesis
MONDO_0024623	otorhinolaryngologic disease
MONDO_0005066	metabolic disease
MONDO_0019040	chromosomal disorder
MONDO_0020683	acute disease
MONDO_0021669	post-infectious disorder
MONDO_0002051	integumentary system disorder
MONDO_0002254	syndromic disease
MONDO_0005550	infectious disease
MONDO_0005087	respiratory system disorder
MONDO_0004335	digestive system disorder
MONDO_0021166	inflammatory disease
MONDO_0003900	connective tissue disorder
MONDO_0002022	disorder of orbital region
MONDO_0005151	endocrine system disorder
MONDO_0002081	musculoskeletal system disorder
MONDO_0002025	psychiatric disorder
MONDO_0005570	hematologic disorder
MONDO_0004995	cardiovascular disorder
MONDO_0005046	immune system disorder
MONDO_0700007	idiopathic disease
MONDO_0006858	mouth disorder
MONDO_0002657	breast disorder
MONDO_0002409	auditory system disorder
MONDO_0024458	disorder of visual system
MONDO_0043459	radiation-induced disorder
MONDO_0002118	urinary system disorder
MONDO_0005071	nervous system disorder
MONDO_0005137	nutritional disorder
MONDO_0044991	upper digestive tract disorder
MONDO_0044970	mitochondrial disease
MONDO_0043839	ulcer disease
MONDO_0045024	cancer or benign tumor
MONDO_0100086	perinatal disease
MONDO_0100366	occupational disorder
MONDO_0019303	premature aging syndrome
MONDO_0700220	disease related to transplantation
MONDO_0029000	poisoning
MONDO_0700003	obstetric disorder
MONDO_0043543	iatrogenic disease
