mp_label	mp_id
embryo phenotype	MP_0005380
craniofacial phenotype	MP_0005382
growth/size/body region phenotype	MP_0005378
limbs/digits/tail phenotype	MP_0005371
skeleton phenotype	MP_0005390
muscle phenotype	MP_0005369
cardiovascular system phenotype	MP_0005385
immune system phenotype	MP_0005387
nervous system phenotype	MP_0003631
cellular phenotype	MP_0005384
homeostasis/metabolism phenotype	MP_0005376
respiratory system phenotype	MP_0005388
digestive/alimentary phenotype	MP_0005381
endocrine/exocrine gland phenotype	MP_0005379
integument phenotype	MP_0010771
pigmentation phenotype	MP_0001186
hematopoietic system phenotype	MP_0005397
mortality/aging	MP_0010768
reproductive system phenotype	MP_0005389
renal/urinary system phenotype	MP_0005367
hearing/vestibular/ear phenotype	MP_0005377
