Ontology ID	Ancestor	Ancestor Name
MP_0001719	MP_0005380	embryo phenotype
MP_0013216	MP_0005380	embryo phenotype
MP_0012104	MP_0005380	embryo phenotype
MP_0020350	MP_0005380	embryo phenotype
MP_0011519	MP_0005380	embryo phenotype
MP_0006343	MP_0005380	embryo phenotype
MP_0009689	MP_0005380	embryo phenotype
MP_0014586	MP_0005380	embryo phenotype
MP_0013213	MP_0005380	embryo phenotype
MP_0013009	MP_0005380	embryo phenotype
MP_0012103	MP_0005380	embryo phenotype
MP_0012302	MP_0005380	embryo phenotype
MP_0012300	MP_0005380	embryo phenotype
MP_0010380	MP_0005380	embryo phenotype
MP_0002400	MP_0005380	embryo phenotype
MP_0001726	MP_0005380	embryo phenotype
MP_0003891	MP_0005380	embryo phenotype
MP_0012127	MP_0005380	embryo phenotype
MP_0011733	MP_0005380	embryo phenotype
MP_0004964	MP_0005380	embryo phenotype
MP_0013248	MP_0005380	embryo phenotype
MP_0005297	MP_0005380	embryo phenotype
MP_0011190	MP_0005380	embryo phenotype
MP_0012755	MP_0005380	embryo phenotype
MP_0030339	MP_0005380	embryo phenotype
MP_0009693	MP_0005380	embryo phenotype
MP_0020495	MP_0005380	embryo phenotype
MP_0005029	MP_0005380	embryo phenotype
MP_0013007	MP_0005380	embryo phenotype
MP_0001683	MP_0005380	embryo phenotype
MP_0011204	MP_0005380	embryo phenotype
MP_0003401	MP_0005380	embryo phenotype
MP_0011522	MP_0005380	embryo phenotype
MP_0020502	MP_0005380	embryo phenotype
MP_0012493	MP_0005380	embryo phenotype
MP_0010335	MP_0005380	embryo phenotype
MP_0001693	MP_0005380	embryo phenotype
MP_0012747	MP_0005380	embryo phenotype
MP_0000925	MP_0005380	embryo phenotype
MP_0013014	MP_0005380	embryo phenotype
MP_0012796	MP_0005380	embryo phenotype
MP_0012118	MP_0005380	embryo phenotype
MP_0002672	MP_0005380	embryo phenotype
MP_0009781	MP_0005380	embryo phenotype
MP_0004965	MP_0005380	embryo phenotype
MP_0012142	MP_0005380	embryo phenotype
MP_0003827	MP_0005380	embryo phenotype
MP_0011192	MP_0005380	embryo phenotype
MP_0004256	MP_0005380	embryo phenotype
MP_0013002	MP_0005380	embryo phenotype
MP_0001704	MP_0005380	embryo phenotype
MP_0005030	MP_0005380	embryo phenotype
MP_0013267	MP_0005380	embryo phenotype
MP_0009690	MP_0005380	embryo phenotype
MP_0012179	MP_0005380	embryo phenotype
MP_0001688	MP_0005380	embryo phenotype
MP_0000786	MP_0005380	embryo phenotype
MP_0031453	MP_0005380	embryo phenotype
MP_0013008	MP_0005380	embryo phenotype
MP_0008054	MP_0005380	embryo phenotype
MP_0020413	MP_0005380	embryo phenotype
MP_0012181	MP_0005380	embryo phenotype
MP_0001684	MP_0005380	embryo phenotype
MP_0012062	MP_0005380	embryo phenotype
MP_0012497	MP_0005380	embryo phenotype
MP_0004054	MP_0005380	embryo phenotype
MP_0012547	MP_0005380	embryo phenotype
MP_0003087	MP_0005380	embryo phenotype
MP_0011200	MP_0005380	embryo phenotype
MP_0012754	MP_0005380	embryo phenotype
MP_0013011	MP_0005380	embryo phenotype
MP_0012128	MP_0005380	embryo phenotype
MP_0013268	MP_0005380	embryo phenotype
MP_0004966	MP_0005380	embryo phenotype
MP_0000924	MP_0005380	embryo phenotype
MP_0012303	MP_0005380	embryo phenotype
MP_0011257	MP_0005380	embryo phenotype
MP_0002582	MP_0005380	embryo phenotype
MP_0012126	MP_0005380	embryo phenotype
MP_0012102	MP_0005380	embryo phenotype
MP_0011521	MP_0005380	embryo phenotype
MP_0011209	MP_0005380	embryo phenotype
MP_0012669	MP_0005380	embryo phenotype
MP_0006031	MP_0005380	embryo phenotype
MP_0004712	MP_0005380	embryo phenotype
MP_0013252	MP_0005380	embryo phenotype
MP_0012714	MP_0005380	embryo phenotype
MP_0011193	MP_0005380	embryo phenotype
MP_0001716	MP_0005380	embryo phenotype
MP_0012494	MP_0005380	embryo phenotype
MP_0013503	MP_0005380	embryo phenotype
MP_0011259	MP_0005380	embryo phenotype
MP_0009845	MP_0005380	embryo phenotype
