gene_id	gene_name	disease_label	mondo_disease_id	gene_id_mouse	mp_ancestor_id	mp_ancestor_label	mp_id	mp_label	mouse_phenotype
ENSG00000000971	CFH	C3 glomerulonephritis	MONDO_0013892	ENSMUSG00000026365	MP_0005367	renal/urinary system phenotype	MP_0002962;MP_0005161;MP_0002743;MP_0020519;MP_0011320;MP_0011512;MP_0000530;MP_0011353;MP_0011453;MP_0011427;MP_0005325;MP_0020518;MP_0011310;MP_0011339;MP_0011348;MP_0002871;MP_0002135	increased urine protein level;hematuria;glomerulonephritis;renal glomerular immunoglobulin deposits;abnormal glomerular capillary morphology;mesangial cell interposition;abnormal kidney vasculature morphology;expanded mesangial matrix;abnormal glomerular capillary endothelium morphology;increased mesangial cell number;abnormal renal glomerulus morphology;renal glomerular protein deposits;abnormal kidney capillary morphology;abnormal glomerular mesangium morphology;abnormal renal glomerulus basement membrane morphology;albuminuria;abnormal kidney morphology	True
ENSG00000000971	CFH	atypical hemolytic-uremic syndrome	MONDO_0016244	ENSMUSG00000026365	MP_0005387	immune system phenotype	MP_0012609;MP_0002743;MP_0020216;MP_0005615;MP_0012553;MP_0011566	decreased complement C5 level;glomerulonephritis;decreased circulating complement protein level;increased susceptibility to type III hypersensitivity reaction;decreased serum complement activity;abnormal complement protein level	True
ENSG00000000971	CFH	atypical hemolytic-uremic syndrome	MONDO_0016244	ENSMUSG00000026365	MP_0005397	hematopoietic system phenotype	MP_0005561;MP_0001577;MP_0003179;MP_0002640;MP_0002874	increased mean corpuscular hemoglobin;anemia;thrombocytopenia;reticulocytosis;decreased hemoglobin content	True
ENSG00000003393	ALS2	ALS2-related motor neuron disease	MONDO_0100227	ENSMUSG00000026024	MP_0003631	nervous system phenotype	MP_0003354;MP_0005405;MP_0000877;MP_0000939;MP_0001053;MP_0005404;MP_0002878;MP_0000940;MP_0002229;MP_0002882;MP_0004768;MP_0000937;MP_0005402;MP_0000880;MP_0006082;MP_0003993	astrocytosis;axon degeneration;abnormal Purkinje cell morphology;decreased motor neuron number;abnormal neuromuscular synapse morphology;abnormal axon morphology;abnormal corticospinal tract morphology;abnormal motor neuron innervation pattern;neurodegeneration;abnormal neuron morphology;abnormal axonal transport;abnormal motor neuron morphology;abnormal action potential;decreased Purkinje cell number;CNS inflammation;abnormal ventral spinal root morphology	True
ENSG00000004838	ZMYND10	primary ciliary dyskinesia 22	MONDO_0014192	ENSMUSG00000010044	MP_0005388	respiratory system phenotype	MP_0002276;MP_0001861;MP_0003828;MP_0002270;MP_0001179;MP_0002285;MP_0010752;MP_0011050	abnormal lung interstitium morphology;lung inflammation;pulmonary edema;abnormal pulmonary alveolus morphology;thick pulmonary interalveolar septum;abnormal tracheal ciliated epithelium morphology;impaired mucociliary clearance;abnormal respiratory motile cilium morphology	True
ENSG00000004848	ARX	X-linked complex neurodevelopmental disorder	MONDO_0100148	ENSMUSG00000035277	MP_0003631	nervous system phenotype	MP_0003232;MP_0003247;MP_0000243;MP_0004077;MP_0002906;MP_0004103;MP_0008223;MP_0004275;MP_0003997;MP_0000934;MP_0000780;MP_0002272;MP_0008536;MP_0000819;MP_0003246;MP_0001038;MP_0004101;MP_0014558;MP_0003996;MP_0008929;MP_0009324;MP_0002741;MP_0008948;MP_0000774;MP_0000812;MP_0002064;MP_0000792;MP_0004994;MP_0000788;MP_0006009;MP_0008439;MP_0008547;MP_0008840;MP_0000859;MP_0000778;MP_0008441;MP_0014551;MP_0008128;MP_0008267;MP_0000787;MP_0008269;MP_0000808;MP_0000832;MP_0002826	abnormal forebrain development;abnormal glutaminergic neuron morphology;myoclonus;abnormal striatum morphology;increased susceptibility to pharmacologically induced seizures;abnormal ventral striatum morphology;absent hippocampal commissure;abnormal postnatal subventricular zone morphology;tonic-clonic seizures;abnormal telencephalon development;abnormal corpus callosum morphology;abnormal nervous system electrophysiology;enlarged third ventricle;abnormal olfactory bulb morphology;loss of GABAergic neurons;abnormal cholinergic neuron morphology;abnormal brain interneuron morphology;decreased cortical ventricular zone thickness;clonic seizures;abnormal central medial nucleus morphology;absent hippocampal fimbria;small olfactory bulb;decreased neuron number;decreased brain size;abnormal dentate gyrus morphology;seizures;abnormal cortical marginal zone morphology;abnormal brain wave pattern;abnormal cerebral cortex morphology;abnormal neuronal migration;abnormal cortical plate morphology;abnormal neocortex morphology;abnormal spike wave discharge;abnormal somatosensory cortex morphology;abnormal nervous system tract morphology;thin cortical plate;impaired neuronal migration;abnormal brain internal capsule morphology;abnormal hippocampus CA3 region morphology;abnormal telencephalon morphology;abnormal hippocampus CA4 region morphology;abnormal hippocampus development;abnormal thalamus morphology;tonic seizures	True
ENSG00000004848	ARX	genetic developmental and epileptic encephalopathy	MONDO_0100062	ENSMUSG00000035277	MP_0003631	nervous system phenotype	MP_0003232;MP_0003247;MP_0000243;MP_0004077;MP_0002906;MP_0004103;MP_0008223;MP_0004275;MP_0003997;MP_0000934;MP_0000780;MP_0002272;MP_0008536;MP_0000819;MP_0003246;MP_0001038;MP_0004101;MP_0014558;MP_0003996;MP_0008929;MP_0009324;MP_0002741;MP_0008948;MP_0000774;MP_0000812;MP_0002064;MP_0000792;MP_0004994;MP_0000788;MP_0006009;MP_0008439;MP_0008547;MP_0008840;MP_0000859;MP_0000778;MP_0008441;MP_0014551;MP_0008128;MP_0008267;MP_0000787;MP_0008269;MP_0000808;MP_0000832;MP_0002826	abnormal forebrain development;abnormal glutaminergic neuron morphology;myoclonus;abnormal striatum morphology;increased susceptibility to pharmacologically induced seizures;abnormal ventral striatum morphology;absent hippocampal commissure;abnormal postnatal subventricular zone morphology;tonic-clonic seizures;abnormal telencephalon development;abnormal corpus callosum morphology;abnormal nervous system electrophysiology;enlarged third ventricle;abnormal olfactory bulb morphology;loss of GABAergic neurons;abnormal cholinergic neuron morphology;abnormal brain interneuron morphology;decreased cortical ventricular zone thickness;clonic seizures;abnormal central medial nucleus morphology;absent hippocampal fimbria;small olfactory bulb;decreased neuron number;decreased brain size;abnormal dentate gyrus morphology;seizures;abnormal cortical marginal zone morphology;abnormal brain wave pattern;abnormal cerebral cortex morphology;abnormal neuronal migration;abnormal cortical plate morphology;abnormal neocortex morphology;abnormal spike wave discharge;abnormal somatosensory cortex morphology;abnormal nervous system tract morphology;thin cortical plate;impaired neuronal migration;abnormal brain internal capsule morphology;abnormal hippocampus CA3 region morphology;abnormal telencephalon morphology;abnormal hippocampus CA4 region morphology;abnormal hippocampus development;abnormal thalamus morphology;tonic seizures	True
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	ENSMUSG00000022521	MP_0003631	nervous system phenotype	MP_0000783;MP_0003632;MP_0000955;MP_0000928;MP_0000929;MP_0000914;MP_0002151;MP_0002064;MP_0002923;MP_0001915	abnormal forebrain morphology;abnormal nervous system morphology;abnormal spinal cord morphology;incomplete rostral neuropore closure;open neural tube;exencephaly;abnormal neural tube morphology;seizures;increased post-tetanic potentiation;intracranial hemorrhage	True
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	ENSMUSG00000022521	MP_0005378	growth/size/body region phenotype	MP_0000447;MP_0001698;MP_0009890;MP_0001265;MP_0004033;MP_0004471;MP_0000091;MP_0003984;MP_0001262;MP_0005659;MP_0000691;MP_0000097;MP_0000103;MP_0004379;MP_0001732;MP_0000449;MP_0000445;MP_0000457;MP_0002088	flattened snout;decreased embryo size;cleft secondary palate;decreased body size;supernumerary teeth;short nasal bone;short premaxilla;embryonic growth retardation;decreased body weight;decreased susceptibility to diet-induced obesity;enlarged spleen;short maxilla;nasal bone hypoplasia;wide frontal bone;postnatal growth retardation;broad nasal bridge;short snout;maxilla hypoplasia;abnormal embryonic growth/weight/body size	True
ENSG00000005339	CREBBP	Rubinstein-Taybi syndrome	MONDO_0019188	ENSMUSG00000022521	MP_0005386	behavior/neurological phenotype	MP_0001441;MP_0001360;MP_0002757;MP_0001402;MP_0014367;MP_0001405;MP_0001364;MP_0001409;MP_0002064;MP_0003862;MP_0031391;MP_0001447;MP_0002574;MP_0010053	increased grooming behavior;abnormal social investigation;decreased vertical activity;decreased locomotor activity;impaired long-term object recognition memory;impaired coordination;decreased anxiety-related response;increased stereotypic behavior;seizures;decreased aggression towards male mice;increased locomotor activity;abnormal nest building behavior;increased vertical activity;decreased grip strength	True
ENSG00000005471	ABCB4	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	ENSMUSG00000042476	MP_0005379	endocrine/exocrine gland phenotype	MP_0002928;MP_0003255;MP_0020134;MP_0003253	abnormal bile duct morphology;bile duct proliferation;abnormal gallbladder size;dilated bile duct	True
ENSG00000005471	ABCB4	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	ENSMUSG00000042476	MP_0005381	digestive/alimentary phenotype	MP_0002647;MP_0014476;MP_0010155;MP_0014479	decreased intestinal cholesterol absorption;abnormal feces lipid level;abnormal intestine physiology;decreased feces bile salt level	True
ENSG00000005961	ITGA2B	Glanzmann thrombasthenia	MONDO_0100326	ENSMUSG00000034664	MP_0005397	hematopoietic system phenotype	MP_0004809;MP_0009548;MP_0000691;MP_0009549;MP_0014060;MP_0005464;MP_0002123;MP_0001577;MP_0003396;MP_0002875;MP_0006298;MP_0003179	increased hematopoietic stem cell number;abnormal platelet aggregation;enlarged spleen;decreased platelet aggregation;abnormal platelet alpha-granule morphology;abnormal platelet physiology;abnormal definitive hematopoiesis;anemia;abnormal embryonic hematopoiesis;decreased erythrocyte cell number;abnormal platelet activation;thrombocytopenia	True
ENSG00000005961	ITGA2B	platelet-type bleeding disorder 16	MONDO_0008552	ENSMUSG00000034664	MP_0005397	hematopoietic system phenotype	MP_0004809;MP_0009548;MP_0000691;MP_0009549;MP_0014060;MP_0005464;MP_0002123;MP_0001577;MP_0003396;MP_0002875;MP_0006298;MP_0003179	increased hematopoietic stem cell number;abnormal platelet aggregation;enlarged spleen;decreased platelet aggregation;abnormal platelet alpha-granule morphology;abnormal platelet physiology;abnormal definitive hematopoiesis;anemia;abnormal embryonic hematopoiesis;decreased erythrocyte cell number;abnormal platelet activation;thrombocytopenia	True
ENSG00000006062	MAP3K14	NIK deficiency	MONDO_0018642	ENSMUSG00000020941	MP_0005387	immune system phenotype	MP_0009543;MP_0002619;MP_0008465;MP_0002492;MP_0008217;MP_0009633;MP_0008880;MP_0009630;MP_0002375;MP_0000689;MP_0002460;MP_0008178;MP_0000336;MP_0000706;MP_0008127;MP_0001861;MP_0002459;MP_0000685;MP_0008040;MP_0008234;MP_0002406;MP_0004816;MP_0008174;MP_0008471;MP_0008497;MP_0001807;MP_0001860;MP_0008201;MP_0001802;MP_0001869;MP_0009629;MP_0009632;MP_0000703;MP_0003254;MP_0009923;MP_0009926;MP_0001828;MP_0002362;MP_0002455;MP_0008036;MP_0008827;MP_0001805;MP_0001846;MP_0014130;MP_0004974;MP_0009634;MP_0001859;MP_0008207;MP_0008578;MP_0002376;MP_0002831;MP_0005027;MP_0001790;MP_0001806;MP_0004751;MP_0013741;MP_0002401;MP_0005011;MP_0008182;MP_0008397;MP_0014263;MP_0008603;MP_0005017;MP_0009622;MP_0008024	abnormal thymus corticomedullary boundary morphology;abnormal lymphocyte morphology;absent mesenteric lymph nodes;IgE値低下;B細胞活性化異常;absent cervical lymph nodes;lacrimal gland inflammation;absent axillary lymph nodes;abnormal thymus medulla morphology;abnormal spleen morphology;decreased immunoglobulin level;decreased germinal center B cell number;decreased mast cell number;small thymus;decreased dendritic cell number;lung inflammation;B細胞生理異常;abnormal immune system morphology;NKＴ細胞数の減少;absent spleen marginal zone;increased susceptibility to infection;abnormal class switch recombination;decreased follicular B cell number;abnormal spleen primary B follicle morphology;IgG2b値低下;IgA値低下;liver inflammation;absent follicular dendritic cells;B細胞分化抑制;pancreas inflammation;small brachial lymph nodes;small axillary lymph nodes;abnormal thymus morphology;bile duct inflammation;decreased transitional stage T1 B cell number;decreased transitional stage T2 B cell number;T細胞活性化異常;abnormal spleen marginal zone morphology;abnormal dendritic cell antigen presentation;NKＴ細胞の形態異常;abnormal thymus cell ratio;IgG値低下;increased inflammatory response;thymus cyst;decreased regulatory T cell number;absent popliteal lymph nodes;kidney inflammation;B-2B細胞数減少;decreased circulating interferon-gamma level;abnormal dendritic cell physiology;absent Peyer's patches;increased susceptibility to parasitic infection;abnormal immune system physiology;IgM値低下;increased length of allograft survival;absent thymus corticomedullary boundary;abnormal lymphopoiesis;increased eosinophil cell number;decreased marginal zone B cell number;CD4陽性、CD25陽性、アルファ-ベータ型制御Ｔ細胞の形態異常;decreased spleen B cell follicle number;decreased circulating interleukin-4 level;B細胞数の減少;absent inguinal lymph nodes;absent lymph nodes	True
ENSG00000006071	ABCC8	monogenic diabetes	MONDO_0015967	ENSMUSG00000040136	MP_0005379	endocrine/exocrine gland phenotype	MP_0003058;MP_0003059;MP_0003564;MP_0005217	increased insulin secretion;decreased insulin secretion;abnormal insulin secretion;abnormal pancreatic beta cell morphology	True
ENSG00000006451	RALA	complex neurodevelopmental disorder	MONDO_0100038	ENSMUSG00000008859	MP_0003631	nervous system phenotype	MP_0000914	exencephaly	True
ENSG00000006611	USH1C	nonsyndromic genetic hearing loss	MONDO_0019497	ENSMUSG00000030838	MP_0003631	nervous system phenotype	MP_0004532;MP_0004492;MP_0004404;MP_0004398;MP_0004527;MP_0004578;MP_0004491;MP_0002857;MP_0004522;MP_0004399;MP_0002622;MP_0004324;MP_0004431;MP_0004521;MP_0004577	abnormal inner hair cell stereociliary bundle morphology;abnormal orientation of inner hair cell stereociliary bundles;cochlear outer hair cell degeneration;cochlear inner hair cell degeneration;abnormal outer hair cell stereociliary bundle morphology;abnormal cochlear hair bundle tip links morphology;abnormal orientation of outer hair cell stereociliary bundles;cochlear ganglion degeneration;abnormal orientation of cochlear hair cell stereociliary bundles;abnormal cochlear outer hair cell morphology;abnormal cochlear hair cell morphology;vestibular hair cell degeneration;abnormal hair cell mechanoelectric transduction;abnormal cochlear hair cell stereociliary bundle morphology;abnormal cochlear hair cell inter-stereocilial links morphology	True
ENSG00000006611	USH1C	nonsyndromic genetic hearing loss	MONDO_0019497	ENSMUSG00000030838	MP_0005377	hearing/vestibular/ear phenotype	MP_0004532;MP_0004492;MP_0004404;MP_0004398;MP_0011967;MP_0004527;MP_0000043;MP_0004578;MP_0004491;MP_0004522;MP_0001967;MP_0004399;MP_0002622;MP_0004324;MP_0004431;MP_0004521;MP_0004577	abnormal inner hair cell stereociliary bundle morphology;abnormal orientation of inner hair cell stereociliary bundles;cochlear outer hair cell degeneration;cochlear inner hair cell degeneration;increased or absent threshold for auditory brainstem response;abnormal outer hair cell stereociliary bundle morphology;organ of Corti degeneration;abnormal cochlear hair bundle tip links morphology;abnormal orientation of outer hair cell stereociliary bundles;abnormal orientation of cochlear hair cell stereociliary bundles;deafness;abnormal cochlear outer hair cell morphology;abnormal cochlear hair cell morphology;vestibular hair cell degeneration;abnormal hair cell mechanoelectric transduction;abnormal cochlear hair cell stereociliary bundle morphology;abnormal cochlear hair cell inter-stereocilial links morphology	True
ENSG00000006611	USH1C	nonsyndromic genetic hearing loss	MONDO_0019497	ENSMUSG00000030838	MP_0005386	behavior/neurological phenotype	MP_0001408;MP_0001410;MP_0001513;MP_0011939;MP_0010053;MP_0001512;MP_0001523;MP_0006358;MP_0001522;MP_0001525;MP_0005307;MP_0001394;MP_0001399	stereotypic behavior;head bobbing;limb grasping;increased food intake;decreased grip strength;trunk curl;impaired righting response;absent pinna reflex;impaired swimming;impaired balance;head tossing;circling;hyperactivity	True
