gene_id	gene_name	protein_id	mondo_disease_id	disease_label	mondo_ancestor_id	ancestor_label	experimental_protein_link	linked_protein_ids	linked_protein_names	evidence_strength
ENSG00000183044	ABAT	ENSP00000268251	MONDO_0100062	developmental and epileptic encephalopathy	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000256103	ACO2;PMP2	107;70
ENSG00000183044	ABAT	ENSP00000379845	MONDO_0100062	developmental and epileptic encephalopathy	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000256103	ACO2;PMP2	107;70
ENSG00000183044	ABAT	ENSP00000411916	MONDO_0100062	developmental and epileptic encephalopathy	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000256103	ACO2;PMP2	107;70
ENSG00000115657	ABCB6	ENSP00000265316	MONDO_0014169	dyschromatosis universalis hereditaria 3	MONDO_0002051	integumentary system disorder	False			
ENSG00000115657	ABCB6	ENSP00000295750	MONDO_0014169	dyschromatosis universalis hereditaria 3	MONDO_0002051	integumentary system disorder	False			
ENSG00000131269	ABCB7	ENSP00000362492	MONDO_0044970	mitochondrial disease			False			
ENSG00000131269	ABCB7	ENSP00000253577	MONDO_0044970	mitochondrial disease			False			
ENSG00000131269	ABCB7	ENSP00000343849	MONDO_0044970	mitochondrial disease			False			
ENSG00000119688	ABCD4	ENSP00000349396	MONDO_0013925	methylmalonic acidemia with homocystinuria, type cblJ	MONDO_0005570	hematologic disorder	False	ENSP00000356150	MDM4	100
ENSG00000100412	ACO2	ENSP00000216254	MONDO_0044970	mitochondrial disease			False			
ENSG00000161533	ACOX1	ENSP00000293217	MONDO_0030073	Mitchell syndrome			False			
ENSG00000161533	ACOX1	ENSP00000301608	MONDO_0030073	Mitchell syndrome			False			
ENSG00000136518	ACTL6A	ENSP00000394014	MONDO_0700121	ACTL6A-related BAFopathy			False			
ENSG00000136518	ACTL6A	ENSP00000376430	MONDO_0700121	ACTL6A-related BAFopathy			False			
ENSG00000136518	ACTL6A	ENSP00000397552	MONDO_0700121	ACTL6A-related BAFopathy			False			
ENSG00000148700	ADD3	ENSP00000353286	MONDO_0100516	complex neurodevelopmental disorder with motor features	MONDO_0005071	nervous system disorder	False	ENSP00000354111;ENSP00000359297;ENSP00000494750	DNAJC5;NSDHL;ACTB	169;46;84
ENSG00000148700	ADD3	ENSP00000348381	MONDO_0100516	complex neurodevelopmental disorder with motor features	MONDO_0005071	nervous system disorder	False	ENSP00000354111;ENSP00000359297;ENSP00000494750	DNAJC5;NSDHL;ACTB	169;46;84
ENSG00000148700	ADD3	ENSP00000277900	MONDO_0100516	complex neurodevelopmental disorder with motor features	MONDO_0005071	nervous system disorder	False	ENSP00000354111;ENSP00000359297;ENSP00000494750	DNAJC5;NSDHL;ACTB	169;46;84
ENSG00000156709	AIFM1	ENSP00000502606	MONDO_0009723	Leigh syndrome	MONDO_0021147	disorder of development or morphogenesis	False	ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354681;ENSP00000359297;ENSP00000377446;ENSP00000419665;ENSP00000423673	TACO1;NDUFS3;GFM1;SDHA;NDUFA9;MFF;NDUFS8;OPA3;OPA1;NSDHL;SUCLG1;SSBP1;NDUFA13	161;63;132;73;61;142;170;231;125;219;162
ENSG00000156709	AIFM1	ENSP00000502606	MONDO_0009723	Leigh syndrome	MONDO_0005071	nervous system disorder	False	ENSP00000216254;ENSP00000258975;ENSP00000263774;ENSP00000264263;ENSP00000264932;ENSP00000266544;ENSP00000284440;ENSP00000302037;ENSP00000315774;ENSP00000319817;ENSP00000354111;ENSP00000354681;ENSP00000356233;ENSP00000359297;ENSP00000374455;ENSP00000377446;ENSP00000419665;ENSP00000423673;ENSP00000445306	ACO2;TACO1;NDUFS3;GFM1;SDHA;NDUFA9;UCHL1;MFF;NDUFS8;OPA3;DNAJC5;OPA1;KDM5B;NSDHL;SQSTM1;SUCLG1;SSBP1;NDUFA13;ATP1A1	140;161;63;132;73;61;142;170;99;231;175;125;219;162;120
