	gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label	case/control
0	+++++++++++	++++++++++++++	+++++++++++++	++++++++++++++++++	++++++++++++++												control
1	AARS1	HGNC:20	Charcot-Marie-Tooth disease axonal type 2N	MONDO_0013212	Definitive	16	70251983.0	70289707.0	-	ENSG00000090861	ENST00000675643	ENSP00000502797	P49588	16	MONDO_0005071	nervous system disorder	case
2	AARS1	HGNC:20	Charcot-Marie-Tooth disease axonal type 2N	MONDO_0013212	Definitive	16	70251983.0	70289707.0	-	ENSG00000090861	ENST00000674963	ENSP00000501924	P49588	16	MONDO_0005071	nervous system disorder	case
3	AARS1	HGNC:20	Charcot-Marie-Tooth disease axonal type 2N	MONDO_0013212	Definitive	16	70251983.0	70289707.0	-	ENSG00000090861	ENST00000674691	ENSP00000502247	P49588	16	MONDO_0005071	nervous system disorder	case
4	AARS1	HGNC:20	Charcot-Marie-Tooth disease axonal type 2N	MONDO_0013212	Definitive	16	70251983.0	70289707.0	-	ENSG00000090861	ENST00000261772	ENSP00000261772	P49588	16	MONDO_0005071	nervous system disorder	case
5	AARS2	HGNC:21022	mitochondrial disease	MONDO_0044970	Definitive	6	44298731.0	44313347.0	-	ENSG00000124608	ENST00000244571	ENSP00000244571	Q5JTZ9	57505			case
6	ABAT	HGNC:23	developmental and epileptic encephalopathy	MONDO_0100062	Moderate	16	8674596.0	8784575.0	+	ENSG00000183044	ENST00000268251	ENSP00000268251	P80404	18	MONDO_0005071	nervous system disorder	control
7	ABAT	HGNC:23	developmental and epileptic encephalopathy	MONDO_0100062	Moderate	16	8674596.0	8784575.0	+	ENSG00000183044	ENST00000396600	ENSP00000379845	P80404	18	MONDO_0005071	nervous system disorder	control
8	ABAT	HGNC:23	developmental and epileptic encephalopathy	MONDO_0100062	Moderate	16	8674596.0	8784575.0	+	ENSG00000183044	ENST00000425191	ENSP00000411916	P80404	18	MONDO_0005071	nervous system disorder	control
9	ABCA3	HGNC:33	interstitial lung disease due to ABCA3 deficiency	MONDO_0012582	Definitive	16	2275881.0	2340746.0	-	ENSG00000167972	ENST00000301732	ENSP00000301732	Q99758	21	MONDO_0005087	respiratory system disorder	case
10	ABCA3	HGNC:33	interstitial lung disease due to ABCA3 deficiency	MONDO_0012582	Definitive	16	2275881.0	2340746.0	-	ENSG00000167972	ENST00000567910	ENSP00000454397	Q99758	21	MONDO_0005087	respiratory system disorder	case
11	ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0002022	disorder of orbital region	case
12	ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0002025	psychiatric disorder	case
13	ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0024458	disorder of visual system	case
14	ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0005071	nervous system disorder	case
15	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000649586	ENSP00000496956	P21439	5244	MONDO_0004335	digestive system disorder	case
16	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000649586	ENSP00000496956	P21439	5244	MONDO_0005151	endocrine system disorder	case
17	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000265723	ENSP00000265723	P21439	5244	MONDO_0004335	digestive system disorder	case
18	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000265723	ENSP00000265723	P21439	5244	MONDO_0005151	endocrine system disorder	case
19	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000359206	ENSP00000352135	P21439	5244	MONDO_0004335	digestive system disorder	case
20	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000359206	ENSP00000352135	P21439	5244	MONDO_0005151	endocrine system disorder	case
21	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000453593	ENSP00000392983	P21439	5244	MONDO_0004335	digestive system disorder	case
22	ABCB4	HGNC:45	progressive familial intrahepatic cholestasis type 3	MONDO_0011214	Definitive	7	87401696.0	87480435.0	-	ENSG00000005471	ENST00000453593	ENSP00000392983	P21439	5244	MONDO_0005151	endocrine system disorder	case
23	ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0002022	disorder of orbital region	
24	ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0024458	disorder of visual system	
25	ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000295750	ENSP00000295750	Q9NP58	10058	MONDO_0002022	disorder of orbital region	
26	ABCB6	HGNC:47	microphthalmia, isolated, with coloboma 7	MONDO_0013783	Limited	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000295750	ENSP00000295750	Q9NP58	10058	MONDO_0024458	disorder of visual system	
27	ABCB6	HGNC:47	dyschromatosis universalis hereditaria 3	MONDO_0014169	Moderate	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000265316	ENSP00000265316	Q9NP58	10058	MONDO_0002051	integumentary system disorder	control
28	ABCB6	HGNC:47	dyschromatosis universalis hereditaria 3	MONDO_0014169	Moderate	2	219209772.0	219218994.0	-	ENSG00000115657	ENST00000295750	ENSP00000295750	Q9NP58	10058	MONDO_0002051	integumentary system disorder	control
29	ABCB7	HGNC:48	mitochondrial disease	MONDO_0044970	Moderate	X	75051048.0	75156732.0	-	ENSG00000131269	ENST00000373394	ENSP00000362492	O75027	22			control
30	ABCB7	HGNC:48	mitochondrial disease	MONDO_0044970	Moderate	X	75051048.0	75156732.0	-	ENSG00000131269	ENST00000253577	ENSP00000253577	O75027	22			control
31	ABCB7	HGNC:48	mitochondrial disease	MONDO_0044970	Moderate	X	75051048.0	75156732.0	-	ENSG00000131269	ENST00000339447	ENSP00000343849	O75027	22			control
32	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000302539	ENSP00000303960	Q09428	6833	MONDO_0004335	digestive system disorder	case
33	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000302539	ENSP00000303960	Q09428	6833	MONDO_0005151	endocrine system disorder	case
34	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000389817	ENSP00000374467	Q09428	6833	MONDO_0004335	digestive system disorder	case
35	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000389817	ENSP00000374467	Q09428	6833	MONDO_0005151	endocrine system disorder	case
36	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000684593	ENSP00000507005	Q09428	6833	MONDO_0004335	digestive system disorder	case
37	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000684593	ENSP00000507005	Q09428	6833	MONDO_0005151	endocrine system disorder	case
38	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000644542	ENSP00000495532	Q09428	6833	MONDO_0004335	digestive system disorder	case
39	ABCC8	HGNC:59	monogenic diabetes	MONDO_0015967	Definitive	11	17392498.0	17476894.0	-	ENSG00000006071	ENST00000644542	ENSP00000495532	Q09428	6833	MONDO_0005151	endocrine system disorder	case
40	ABCD1	HGNC:61	adrenoleukodystrophy	MONDO_0018544	Definitive	X	153724856.0	153744755.0	+	ENSG00000101986	ENST00000218104	ENSP00000218104	P33897	215	MONDO_0005151	endocrine system disorder	case
