gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label
+++++++++++	++++++++++++++	+++++++++++++	++++++++++++++++++	++++++++++++++											
A2ML1	HGNC:23336	Noonan syndrome	MONDO_0018997	Disputed	12	8822621.0	8887001.0	+	ENSG00000166535	ENST00000299698	ENSP00000299698	A8K2U0	144568	MONDO_0021147	disorder of development or morphogenesis
A2ML1	HGNC:23336	Noonan syndrome	MONDO_0018997	Disputed	12	8822621.0	8887001.0	+	ENSG00000166535	ENST00000299698	ENSP00000299698	A8K2U0	144568	MONDO_0002081	musculoskeletal system disorder
A2ML1	HGNC:23336	Noonan syndrome	MONDO_0018997	Disputed	12	8822621.0	8887001.0	+	ENSG00000166535	ENST00000299698	ENSP00000299698	A8K2U0	144568	MONDO_0004995	cardiovascular disorder
A2ML1	HGNC:23336	Noonan syndrome	MONDO_0018997	Disputed	12	8822621.0	8887001.0	+	ENSG00000166535	ENST00000299698	ENSP00000299698	A8K2U0	144568	MONDO_0005046	immune system disorder
AARS1	HGNC:20	Charcot-Marie-Tooth disease axonal type 2N	MONDO_0013212	Definitive	16	70251983.0	70289707.0	-	ENSG00000090861	ENST00000261772	ENSP00000261772	P49588	16	MONDO_0005071	nervous system disorder
AARS2	HGNC:21022	mitochondrial disease	MONDO_0044970	Definitive	6	44298731.0	44313347.0	-	ENSG00000124608	ENST00000244571	ENSP00000244571	Q5JTZ9	57505	MONDO_0044970	mitochondrial disease
AASS	HGNC:17366	hyperlysinemia	MONDO_0009388	Definitive	7	122064583.0	122144308.0	-	ENSG00000008311	ENST00000417368	ENSP00000403768	Q9UDR5	10157	MONDO_0005066	metabolic disease
ABAT	HGNC:23	developmental and epileptic encephalopathy	MONDO_0100062	Moderate	16	8674596.0	8784575.0	+	ENSG00000183044	ENST00000268251	ENSP00000268251	P80404	18	MONDO_0005071	nervous system disorder
ABCA3	HGNC:33	interstitial lung disease due to ABCA3 deficiency	MONDO_0012582	Definitive	16	2275881.0	2340746.0	-	ENSG00000167972	ENST00000301732	ENSP00000301732	Q99758	21	MONDO_0005087	respiratory system disorder
ABCA4	HGNC:34	ABCA4-related retinopathy	MONDO_0800406	Definitive	1	93992834.0	94121148.0	-	ENSG00000198691	ENST00000370225	ENSP00000359245	P78363	24	MONDO_0002022	disorder of orbital region
