gene_id	gene_name	disease_label	mondo_disease_id	efo_ancestor_id	efo_ancestor_label	gwas_association	gwas_id_efo	gwas_label	l2g_score
ENSG00000000971	CFH	C3 glomerulonephritis	MONDO_0013892	EFO_0009690	urinary system disease	True	EFO_0003086;EFO_0004194;MONDO_0007915	kidney disease;IGA glomerulonephritis;systemic lupus erythematosus	0.33031964197298985;0.43531915829217754;0.7894816841811654
ENSG00000000971	CFH	atypical hemolytic-uremic syndrome	MONDO_0016244	EFO_0000540	immune system disease	True	MONDO_0007915	systemic lupus erythematosus	0.7894816841811654
ENSG00000000971	CFH	atypical hemolytic-uremic syndrome	MONDO_0016244	EFO_0005803	hematologic disease	False			
ENSG00000001497	LAS1L	X-linked syndromic intellectual disability	MONDO_0020119	EFO_0000618	nervous system disease	False	MONDO_0002050	depressive disorder	0.11506834465915905
ENSG00000003393	ALS2	ALS2-related motor neuron disease	MONDO_0100227	EFO_0000618	nervous system disease	False			
ENSG00000003400	CASP10	autoimmune lymphoproliferative syndrome type 2A	MONDO_0011383	EFO_0000540	immune system disease	True	EFO_0000685;EFO_0000095;EFO_0007352	rheumatoid arthritis;chronic lymphocytic leukemia;lymphatic system disease	0.8141881801167258;0.8928400659476277;0.11315921757871894
ENSG00000003400	CASP10	autoimmune lymphoproliferative syndrome type 2A	MONDO_0011383	MONDO_0045024	cancer or benign tumor	True	EFO_0000095;EFO_0000305;EFO_0001663	chronic lymphocytic leukemia;breast carcinoma;prostate carcinoma	0.8928400659476277;0.35487310791669613;0.7453783243256374
ENSG00000004455	AK2	reticular dysgenesis	MONDO_0009973	EFO_0000540	immune system disease	False	EFO_0000676	psoriasis	0.05835381235404131
ENSG00000004700	RECQL	familial ovarian cancer	MONDO_0016248	EFO_0000512	reproductive system disease	False			
ENSG00000004700	RECQL	familial ovarian cancer	MONDO_0016248	EFO_0001379	endocrine system disease	False			
ENSG00000004700	RECQL	familial ovarian cancer	MONDO_0016248	MONDO_0045024	cancer or benign tumor	False			
ENSG00000004700	RECQL	hereditary breast carcinoma	MONDO_0016419	EFO_0009483	breast disease	False			
ENSG00000004700	RECQL	hereditary breast carcinoma	MONDO_0016419	MONDO_0045024	cancer or benign tumor	False			
ENSG00000004838	ZMYND10	primary ciliary dyskinesia 22	MONDO_0014192	EFO_0000684	respiratory system disease	False			
ENSG00000004848	ARX	X-linked complex neurodevelopmental disorder	MONDO_0100148	EFO_0000618	nervous system disease	False			
ENSG00000004848	ARX	genetic developmental and epileptic encephalopathy	MONDO_0100062	EFO_0000618	nervous system disease	False			
ENSG00000005073	HOXA11	radioulnar synostosis with amegakaryocytic thrombocytopenia 1	MONDO_0024558	EFO_0005803	hematologic disease	False			
ENSG00000005073	HOXA11	radioulnar synostosis with amegakaryocytic thrombocytopenia 1	MONDO_0024558	EFO_0009676	musculoskeletal system disease	False			
ENSG00000005073	HOXA11	radioulnar synostosis with amegakaryocytic thrombocytopenia 1	MONDO_0024558	MONDO_0021147	disorder of development or morphogenesis	False			
